"time_steps","fancy-sweep-9 - _step","fancy-sweep-9 - _step__MIN","fancy-sweep-9 - _step__MAX","fancy-sweep-9 - agent_avg_eval_r_mean","fancy-sweep-9 - agent_avg_eval_r_mean__MIN","fancy-sweep-9 - agent_avg_eval_r_mean__MAX","fragrant-sweep-8 - _step","fragrant-sweep-8 - _step__MIN","fragrant-sweep-8 - _step__MAX","fragrant-sweep-8 - agent_avg_eval_r_mean","fragrant-sweep-8 - agent_avg_eval_r_mean__MIN","fragrant-sweep-8 - agent_avg_eval_r_mean__MAX","deft-sweep-7 - _step","deft-sweep-7 - _step__MIN","deft-sweep-7 - _step__MAX","deft-sweep-7 - agent_avg_eval_r_mean","deft-sweep-7 - agent_avg_eval_r_mean__MIN","deft-sweep-7 - agent_avg_eval_r_mean__MAX","treasured-sweep-6 - _step","treasured-sweep-6 - _step__MIN","treasured-sweep-6 - _step__MAX","treasured-sweep-6 - agent_avg_eval_r_mean","treasured-sweep-6 - agent_avg_eval_r_mean__MIN","treasured-sweep-6 - agent_avg_eval_r_mean__MAX","pleasant-sweep-5 - _step","pleasant-sweep-5 - _step__MIN","pleasant-sweep-5 - _step__MAX","pleasant-sweep-5 - agent_avg_eval_r_mean","pleasant-sweep-5 - agent_avg_eval_r_mean__MIN","pleasant-sweep-5 - agent_avg_eval_r_mean__MAX","scarlet-sweep-4 - _step","scarlet-sweep-4 - _step__MIN","scarlet-sweep-4 - _step__MAX","scarlet-sweep-4 - agent_avg_eval_r_mean","scarlet-sweep-4 - agent_avg_eval_r_mean__MIN","scarlet-sweep-4 - agent_avg_eval_r_mean__MAX","serene-sweep-2 - _step","serene-sweep-2 - _step__MIN","serene-sweep-2 - _step__MAX","serene-sweep-2 - agent_avg_eval_r_mean","serene-sweep-2 - agent_avg_eval_r_mean__MIN","serene-sweep-2 - agent_avg_eval_r_mean__MAX","zesty-sweep-3 - _step","zesty-sweep-3 - _step__MIN","zesty-sweep-3 - _step__MAX","zesty-sweep-3 - agent_avg_eval_r_mean","zesty-sweep-3 - agent_avg_eval_r_mean__MIN","zesty-sweep-3 - agent_avg_eval_r_mean__MAX","gentle-sweep-1 - _step","gentle-sweep-1 - _step__MIN","gentle-sweep-1 - _step__MAX","gentle-sweep-1 - agent_avg_eval_r_mean","gentle-sweep-1 - agent_avg_eval_r_mean__MIN","gentle-sweep-1 - agent_avg_eval_r_mean__MAX","helpful-sweep-3 - _step","helpful-sweep-3 - _step__MIN","helpful-sweep-3 - _step__MAX","helpful-sweep-3 - agent_avg_eval_r_mean","helpful-sweep-3 - agent_avg_eval_r_mean__MIN","helpful-sweep-3 - agent_avg_eval_r_mean__MAX"
"0","0","0","0","18.863853882112572","18.863853882112572","18.863853882112572","0","0","0","20.31357149800076","20.31357149800076","20.31357149800076","0","0","0","20.07738182764022","20.07738182764022","20.07738182764022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1700","1","1","1","16.61498298509109","16.61498298509109","16.61498298509109","1","1","1","16.402022805479078","16.402022805479078","16.402022805479078","1","1","1","18.167582316693327","18.167582316693327","18.167582316693327","1","1","1","16.190570354220824","16.190570354220824","16.190570354220824","1","1","1","21.010340461034044","21.010340461034044","21.010340461034044","1","1","1","15.36717585340672","15.36717585340672","15.36717585340672","1","1","1","13.93410069632833","13.93410069632833","13.93410069632833","1","1","1","20.61589437369692","20.61589437369692","20.61589437369692","1","1","1","17.216368558834954","17.216368558834954","17.216368558834954","1","1","1","20.96675749999611","20.96675749999611","20.96675749999611"
"3400","2","2","2","16.955583824606023","16.955583824606023","16.955583824606023","2","2","2","17.552878417280134","17.552878417280134","17.552878417280134","2","2","2","18.535129296118583","18.535129296118583","18.535129296118583","2","2","2","19.110988818767545","19.110988818767545","19.110988818767545","2","2","2","19.50603247713364","19.50603247713364","19.50603247713364","2","2","2","13.261259498003351","13.261259498003351","13.261259498003351","2","2","2","18.201203788102553","18.201203788102553","18.201203788102553","2","2","2","19.587595815467186","19.587595815467186","19.587595815467186","2","2","2","19.62253755195418","19.62253755195418","19.62253755195418","2","2","2","22.297535721958642","22.297535721958642","22.297535721958642"
"5100","3","3","3","16.49853021239102","16.49853021239102","16.49853021239102","3","3","3","17.53404252065009","17.53404252065009","17.53404252065009","3","3","3","19.849442451779336","19.849442451779336","19.849442451779336","3","3","3","19.100000166035684","19.100000166035684","19.100000166035684","3","3","3","20.06536830060276","20.06536830060276","20.06536830060276","3","3","3","14.662079238264349","14.662079238264349","14.662079238264349","3","3","3","17.80397340881237","17.80397340881237","17.80397340881237","3","3","3","19.984555293995246","19.984555293995246","19.984555293995246","3","3","3","19.68559925456859","19.68559925456859","19.68559925456859","3","3","3","19.765387318961555","19.765387318961555","19.765387318961555"
"6800","4","4","4","17.346145376058253","17.346145376058253","17.346145376058253","4","4","4","18.12002972827907","18.12002972827907","18.12002972827907","4","4","4","19.501059340934386","19.501059340934386","19.501059340934386","4","4","4","18.628301041623057","18.628301041623057","18.628301041623057","4","4","4","20.61285897711427","20.61285897711427","20.61285897711427","4","4","4","14.321229640426372","14.321229640426372","14.321229640426372","4","4","4","19.271431781339984","19.271431781339984","19.271431781339984","4","4","4","19.063964184927467","19.063964184927467","19.063964184927467","4","4","4","19.437921414342053","19.437921414342053","19.437921414342053","4","4","4","20.287938659183347","20.287938659183347","20.287938659183347"
"8500","5","5","5","17.941458810359457","17.941458810359457","17.941458810359457","5","5","5","18.03900617178915","18.03900617178915","18.03900617178915","5","5","5","19.62677021798486","19.62677021798486","19.62677021798486","5","5","5","18.314424239443998","18.314424239443998","18.314424239443998","5","5","5","19.024304643715304","19.024304643715304","19.024304643715304","5","5","5","14.868822284558878","14.868822284558878","14.868822284558878","5","5","5","20.06648446719779","20.06648446719779","20.06648446719779","5","5","5","19.410082551222857","19.410082551222857","19.410082551222857","5","5","5","17.798231794266723","17.798231794266723","17.798231794266723","5","5","5","20.15664448442262","20.15664448442262","20.15664448442262"
"10200","6","6","6","17.67131617508814","17.67131617508814","17.67131617508814","6","6","6","16.869806665205562","16.869806665205562","16.869806665205562","6","6","6","19.296435342542356","19.296435342542356","19.296435342542356","6","6","6","18.140276571377147","18.140276571377147","18.140276571377147","6","6","6","17.896994884684222","17.896994884684222","17.896994884684222","6","6","6","15.469286722094116","15.469286722094116","15.469286722094116","6","6","6","19.418036357097947","19.418036357097947","19.418036357097947","6","6","6","19.54202218746194","19.54202218746194","19.54202218746194","6","6","6","17.107258568597803","17.107258568597803","17.107258568597803","6","6","6","19.782254606897446","19.782254606897446","19.782254606897446"
"11900","7","7","7","17.83895477312164","17.83895477312164","17.83895477312164","7","7","7","16.78573625141136","16.78573625141136","16.78573625141136","7","7","7","18.97319505415697","18.97319505415697","18.97319505415697","7","7","7","17.67454998303618","17.67454998303618","17.67454998303618","7","7","7","18.541914301246376","18.541914301246376","18.541914301246376","7","7","7","15.531924473628708","15.531924473628708","15.531924473628708","7","7","7","19.2564624830151","19.2564624830151","19.2564624830151","7","7","7","19.951971387112255","19.951971387112255","19.951971387112255","7","7","7","17.13926980579741","17.13926980579741","17.13926980579741","7","7","7","19.014070779610872","19.014070779610872","19.014070779610872"
"13600","8","8","8","17.13274083583017","17.13274083583017","17.13274083583017","8","8","8","16.71644684845792","16.71644684845792","16.71644684845792","8","8","8","19.004928344691137","19.004928344691137","19.004928344691137","8","8","8","17.746973152384054","17.746973152384054","17.746973152384054","8","8","8","18.61355939084178","18.61355939084178","18.61355939084178","8","8","8","15.532192580894113","15.532192580894113","15.532192580894113","8","8","8","18.58389890748457","18.58389890748457","18.58389890748457","8","8","8","19.38612327940919","19.38612327940919","19.38612327940919","8","8","8","16.856358954401976","16.856358954401976","16.856358954401976","8","8","8","19.624294047737905","19.624294047737905","19.624294047737905"
"15300","9","9","9","17.638453978355503","17.638453978355503","17.638453978355503","9","9","9","16.794222613132227","16.794222613132227","16.794222613132227","9","9","9","19.206103397673754","19.206103397673754","19.206103397673754","9","9","9","17.57630361936483","17.57630361936483","17.57630361936483","9","9","9","18.50691182030482","18.50691182030482","18.50691182030482","9","9","9","16.073535722750385","16.073535722750385","16.073535722750385","9","9","9","18.54347936497796","18.54347936497796","18.54347936497796","9","9","9","19.645015479048745","19.645015479048745","19.645015479048745","9","9","9","17.116551232014693","17.116551232014693","17.116551232014693","9","9","9","19.244360062922787","19.244360062922787","19.244360062922787"
"17000","10","10","10","18.160475925733188","18.160475925733188","18.160475925733188","10","10","10","16.9533361260729","16.9533361260729","16.9533361260729","10","10","10","19.061114261403073","19.061114261403073","19.061114261403073","10","10","10","17.653586240587536","17.653586240587536","17.653586240587536","10","10","10","18.33953837736192","18.33953837736192","18.33953837736192","10","10","10","16.377936478295965","16.377936478295965","16.377936478295965","10","10","10","18.71192820685561","18.71192820685561","18.71192820685561","10","10","10","19.644170951669253","19.644170951669253","19.644170951669253","10","10","10","17.29121476976463","17.29121476976463","17.29121476976463","10","10","10","19.197365784841256","19.197365784841256","19.197365784841256"
