"time_steps","peach-sweep-10 - _step","peach-sweep-10 - _step__MIN","peach-sweep-10 - _step__MAX","peach-sweep-10 - collision_end_mean","peach-sweep-10 - collision_end_mean__MIN","peach-sweep-10 - collision_end_mean__MAX","exalted-sweep-9 - _step","exalted-sweep-9 - _step__MIN","exalted-sweep-9 - _step__MAX","exalted-sweep-9 - collision_end_mean","exalted-sweep-9 - collision_end_mean__MIN","exalted-sweep-9 - collision_end_mean__MAX","balmy-sweep-8 - _step","balmy-sweep-8 - _step__MIN","balmy-sweep-8 - _step__MAX","balmy-sweep-8 - collision_end_mean","balmy-sweep-8 - collision_end_mean__MIN","balmy-sweep-8 - collision_end_mean__MAX","still-sweep-7 - _step","still-sweep-7 - _step__MIN","still-sweep-7 - _step__MAX","still-sweep-7 - collision_end_mean","still-sweep-7 - collision_end_mean__MIN","still-sweep-7 - collision_end_mean__MAX","graceful-sweep-6 - _step","graceful-sweep-6 - _step__MIN","graceful-sweep-6 - _step__MAX","graceful-sweep-6 - collision_end_mean","graceful-sweep-6 - collision_end_mean__MIN","graceful-sweep-6 - collision_end_mean__MAX","lively-sweep-5 - _step","lively-sweep-5 - _step__MIN","lively-sweep-5 - _step__MAX","lively-sweep-5 - collision_end_mean","lively-sweep-5 - collision_end_mean__MIN","lively-sweep-5 - collision_end_mean__MAX","astral-sweep-4 - _step","astral-sweep-4 - _step__MIN","astral-sweep-4 - _step__MAX","astral-sweep-4 - collision_end_mean","astral-sweep-4 - collision_end_mean__MIN","astral-sweep-4 - collision_end_mean__MAX","light-sweep-3 - _step","light-sweep-3 - _step__MIN","light-sweep-3 - _step__MAX","light-sweep-3 - collision_end_mean","light-sweep-3 - collision_end_mean__MIN","light-sweep-3 - collision_end_mean__MAX","eternal-sweep-2 - _step","eternal-sweep-2 - _step__MIN","eternal-sweep-2 - _step__MAX","eternal-sweep-2 - collision_end_mean","eternal-sweep-2 - collision_end_mean__MIN","eternal-sweep-2 - collision_end_mean__MAX","hardy-sweep-1 - _step","hardy-sweep-1 - _step__MIN","hardy-sweep-1 - _step__MAX","hardy-sweep-1 - collision_end_mean","hardy-sweep-1 - collision_end_mean__MIN","hardy-sweep-1 - collision_end_mean__MAX"
"500","25","25","25","0","0","0","25","25","25","0","0","0","25","25","25","0","0","0","25","25","25","0","0","0","25","25","25","0","0","0","25","25","25","0","0","0","25","25","25","0.05555555555555555","0.05555555555555555","0.05555555555555555","25","25","25","0","0","0","25","25","25","0","0","0","25","25","25","0","0","0"
"1000","50","50","50","0.04","0.04","0.04","50","50","50","0","0","0","50","50","50","0","0","0","50","50","50","0.04","0.04","0.04","50","50","50","0","0","0","50","50","50","0.08","0.08","0.08","50","50","50","0.08","0.08","0.08","50","50","50","0","0","0","50","50","50","0","0","0","50","50","50","0","0","0"
"1500","75","75","75","0","0","0","75","75","75","0","0","0","75","75","75","0","0","0","75","75","75","0.04","0.04","0.04","75","75","75","0","0","0","75","75","75","0.12","0.12","0.12","75","75","75","0","0","0","75","75","75","0","0","0","75","75","75","0","0","0","75","75","75","0.04","0.04","0.04"
"2000","100","100","100","0","0","0","100","100","100","0","0","0","100","100","100","0","0","0","100","100","100","0.04","0.04","0.04","100","100","100","0.04","0.04","0.04","100","100","100","0.04","0.04","0.04","100","100","100","0","0","0","100","100","100","0.04","0.04","0.04","100","100","100","0.04","0.04","0.04","100","100","100","0.04","0.04","0.04"
"2500","125","125","125","0","0","0","125","125","125","0.04","0.04","0.04","125","125","125","0","0","0","125","125","125","0.08","0.08","0.08","125","125","125","0.08","0.08","0.08","125","125","125","0.04","0.04","0.04","125","125","125","0","0","0","125","125","125","0.04","0.04","0.04","125","125","125","0.04","0.04","0.04","125","125","125","0.04","0.04","0.04"
"3000","150","150","150","0.12","0.12","0.12","150","150","150","0.12","0.12","0.12","150","150","150","0.04","0.04","0.04","150","150","150","0.04","0.04","0.04","150","150","150","0.04","0.04","0.04","150","150","150","0","0","0","150","150","150","0.12","0.12","0.12","150","150","150","0.12","0.12","0.12","150","150","150","0.04","0.04","0.04","150","150","150","0.04","0.04","0.04"
"3500","175","175","175","0.08","0.08","0.08","175","175","175","0.08","0.08","0.08","175","175","175","0.12","0.12","0.12","175","175","175","0.04","0.04","0.04","175","175","175","0.08","0.08","0.08","175","175","175","0.04","0.04","0.04","175","175","175","0","0","0","175","175","175","0.08","0.08","0.08","175","175","175","0.04","0.04","0.04","175","175","175","0.04","0.04","0.04"
"4000","200","200","200","0.08","0.08","0.08","200","200","200","0","0","0","200","200","200","0.08","0.08","0.08","200","200","200","0.2","0.2","0.2","200","200","200","0.08","0.08","0.08","200","200","200","0.08","0.08","0.08","200","200","200","0.12","0.12","0.12","200","200","200","0.04","0.04","0.04","200","200","200","0","0","0","200","200","200","0","0","0"
"4500","225","225","225","0.12","0.12","0.12","225","225","225","0.04","0.04","0.04","225","225","225","0.08","0.08","0.08","225","225","225","0.04","0.04","0.04","225","225","225","0.12","0.12","0.12","225","225","225","0","0","0","225","225","225","0.12","0.12","0.12","225","225","225","0","0","0","225","225","225","0.08","0.08","0.08","225","225","225","0.12","0.12","0.12"
"5000","250","250","250","0.04","0.04","0.04","250","250","250","0.12","0.12","0.12","250","250","250","0.04","0.04","0.04","250","250","250","0","0","0","250","250","250","0.04","0.04","0.04","250","250","250","0.08","0.08","0.08","250","250","250","0.08","0.08","0.08","250","250","250","0.08","0.08","0.08","250","250","250","0.12","0.12","0.12","250","250","250","0.16","0.16","0.16"
