"time_steps","peach-sweep-10 - _step","peach-sweep-10 - _step__MIN","peach-sweep-10 - _step__MAX","peach-sweep-10 - r_mean","peach-sweep-10 - r_mean__MIN","peach-sweep-10 - r_mean__MAX","exalted-sweep-9 - _step","exalted-sweep-9 - _step__MIN","exalted-sweep-9 - _step__MAX","exalted-sweep-9 - r_mean","exalted-sweep-9 - r_mean__MIN","exalted-sweep-9 - r_mean__MAX","balmy-sweep-8 - _step","balmy-sweep-8 - _step__MIN","balmy-sweep-8 - _step__MAX","balmy-sweep-8 - r_mean","balmy-sweep-8 - r_mean__MIN","balmy-sweep-8 - r_mean__MAX","still-sweep-7 - _step","still-sweep-7 - _step__MIN","still-sweep-7 - _step__MAX","still-sweep-7 - r_mean","still-sweep-7 - r_mean__MIN","still-sweep-7 - r_mean__MAX","graceful-sweep-6 - _step","graceful-sweep-6 - _step__MIN","graceful-sweep-6 - _step__MAX","graceful-sweep-6 - r_mean","graceful-sweep-6 - r_mean__MIN","graceful-sweep-6 - r_mean__MAX","lively-sweep-5 - _step","lively-sweep-5 - _step__MIN","lively-sweep-5 - _step__MAX","lively-sweep-5 - r_mean","lively-sweep-5 - r_mean__MIN","lively-sweep-5 - r_mean__MAX","astral-sweep-4 - _step","astral-sweep-4 - _step__MIN","astral-sweep-4 - _step__MAX","astral-sweep-4 - r_mean","astral-sweep-4 - r_mean__MIN","astral-sweep-4 - r_mean__MAX","light-sweep-3 - _step","light-sweep-3 - _step__MIN","light-sweep-3 - _step__MAX","light-sweep-3 - r_mean","light-sweep-3 - r_mean__MIN","light-sweep-3 - r_mean__MAX","eternal-sweep-2 - _step","eternal-sweep-2 - _step__MIN","eternal-sweep-2 - _step__MAX","eternal-sweep-2 - r_mean","eternal-sweep-2 - r_mean__MIN","eternal-sweep-2 - r_mean__MAX","hardy-sweep-1 - _step","hardy-sweep-1 - _step__MIN","hardy-sweep-1 - _step__MAX","hardy-sweep-1 - r_mean","hardy-sweep-1 - r_mean__MIN","hardy-sweep-1 - r_mean__MAX"
"500","25","25","25","17.88439624384721","17.88439624384721","17.88439624384721","25","25","25","16.51417618305837","16.51417618305837","16.51417618305837","25","25","25","17.81992995997742","17.81992995997742","17.81992995997742","25","25","25","17.801954548537633","17.801954548537633","17.801954548537633","25","25","25","17.25131805595057","17.25131805595057","17.25131805595057","25","25","25","15.965169233208972","15.965169233208972","15.965169233208972","25","25","25","17.247093644307572","17.247093644307572","17.247093644307572","25","25","25","17.773493676398463","17.773493676398463","17.773493676398463","25","25","25","19.21524604935234","19.21524604935234","19.21524604935234","25","25","25","19.454757058536117","19.454757058536117","19.454757058536117"
"1000","50","50","50","16.02087143436138","16.02087143436138","16.02087143436138","50","50","50","19.559520651846512","19.559520651846512","19.559520651846512","50","50","50","19.449374135704872","19.449374135704872","19.449374135704872","50","50","50","18.400504569348065","18.400504569348065","18.400504569348065","50","50","50","17.94542455918596","17.94542455918596","17.94542455918596","50","50","50","16.69565930048931","16.69565930048931","16.69565930048931","50","50","50","16.179270318774616","16.179270318774616","16.179270318774616","50","50","50","18.706521857096288","18.706521857096288","18.706521857096288","50","50","50","18.1389465574919","18.1389465574919","18.1389465574919","50","50","50","15.817177817615883","15.817177817615883","15.817177817615883"
"1500","75","75","75","16.86013900932907","16.86013900932907","16.86013900932907","75","75","75","20.504171534812794","20.504171534812794","20.504171534812794","75","75","75","17.03616455470665","17.03616455470665","17.03616455470665","75","75","75","19.648786241012523","19.648786241012523","19.648786241012523","75","75","75","19.331465651259247","19.331465651259247","19.331465651259247","75","75","75","21.03648213919727","21.03648213919727","21.03648213919727","75","75","75","17.753724719188416","17.753724719188416","17.753724719188416","75","75","75","20.041601027827923","20.041601027827923","20.041601027827923","75","75","75","16.5053255802414","16.5053255802414","16.5053255802414","75","75","75","17.936415021578746","17.936415021578746","17.936415021578746"
"2000","100","100","100","18.49408917081618","18.49408917081618","18.49408917081618","100","100","100","20.22959612632407","20.22959612632407","20.22959612632407","100","100","100","18.87765492353711","18.87765492353711","18.87765492353711","100","100","100","19.59349366385554","19.59349366385554","19.59349366385554","100","100","100","21.608384368899316","21.608384368899316","21.608384368899316","100","100","100","18.80404044812219","18.80404044812219","18.80404044812219","100","100","100","20.597177142401403","20.597177142401403","20.597177142401403","100","100","100","21.00718289675162","21.00718289675162","21.00718289675162","100","100","100","19.867504679084494","19.867504679084494","19.867504679084494","100","100","100","19.63066904624696","19.63066904624696","19.63066904624696"
"2500","125","125","125","20.154099823163698","20.154099823163698","20.154099823163698","125","125","125","21.743114373929544","21.743114373929544","21.743114373929544","125","125","125","19.523442201982974","19.523442201982974","19.523442201982974","125","125","125","23.326315875127026","23.326315875127026","23.326315875127026","125","125","125","25.211404605628342","25.211404605628342","25.211404605628342","125","125","125","23.18770687229424","23.18770687229424","23.18770687229424","125","125","125","20.196869440178702","20.196869440178702","20.196869440178702","125","125","125","23.296079266391615","23.296079266391615","23.296079266391615","125","125","125","20.932740337536625","20.932740337536625","20.932740337536625","125","125","125","20.423697293686455","20.423697293686455","20.423697293686455"
"3000","150","150","150","23.77690782370476","23.77690782370476","23.77690782370476","150","150","150","22.86567844879682","22.86567844879682","22.86567844879682","150","150","150","19.507723278157844","19.507723278157844","19.507723278157844","150","150","150","22.786926515458482","22.786926515458482","22.786926515458482","150","150","150","20.53018923419407","20.53018923419407","20.53018923419407","150","150","150","23.956725566589775","23.956725566589775","23.956725566589775","150","150","150","23.209396353654206","23.209396353654206","23.209396353654206","150","150","150","23.559211982648886","23.559211982648886","23.559211982648886","150","150","150","19.40914492678027","19.40914492678027","19.40914492678027","150","150","150","21.95407157988511","21.95407157988511","21.95407157988511"
"3500","175","175","175","27.278093042732785","27.278093042732785","27.278093042732785","175","175","175","26.531118975869017","26.531118975869017","26.531118975869017","175","175","175","20.40073086930927","20.40073086930927","20.40073086930927","175","175","175","20.779604065653672","20.779604065653672","20.779604065653672","175","175","175","21.79337885192539","21.79337885192539","21.79337885192539","175","175","175","22.35429684376254","22.35429684376254","22.35429684376254","175","175","175","21.26661510441282","21.26661510441282","21.26661510441282","175","175","175","24.825340912323533","24.825340912323533","24.825340912323533","175","175","175","21.328965684914188","21.328965684914188","21.328965684914188","175","175","175","26.018231063129054","26.018231063129054","26.018231063129054"
"4000","200","200","200","27.499677047039295","27.499677047039295","27.499677047039295","200","200","200","21.68619685620149","21.68619685620149","21.68619685620149","200","200","200","22.60760782997354","22.60760782997354","22.60760782997354","200","200","200","26.490357207197334","26.490357207197334","26.490357207197334","200","200","200","20.817580399760022","20.817580399760022","20.817580399760022","200","200","200","24.195751933697114","24.195751933697114","24.195751933697114","200","200","200","28.968443459575592","28.968443459575592","28.968443459575592","200","200","200","26.50161478831102","26.50161478831102","26.50161478831102","200","200","200","25.27323359762494","25.27323359762494","25.27323359762494","200","200","200","30.385518369542226","30.385518369542226","30.385518369542226"
"4500","225","225","225","21.57836212079061","21.57836212079061","21.57836212079061","225","225","225","26.483659764179478","26.483659764179478","26.483659764179478","225","225","225","25.13690940904074","25.13690940904074","25.13690940904074","225","225","225","24.75253773310705","24.75253773310705","24.75253773310705","225","225","225","28.562025214403285","28.562025214403285","28.562025214403285","225","225","225","22.267061092997213","22.267061092997213","22.267061092997213","225","225","225","32.11556965724816","32.11556965724816","32.11556965724816","225","225","225","25.539500744024","25.539500744024","25.539500744024","225","225","225","27.18590428657568","27.18590428657568","27.18590428657568","225","225","225","29.903154189406774","29.903154189406774","29.903154189406774"
"5000","250","250","250","24.594689612234696","24.594689612234696","24.594689612234696","250","250","250","29.867817720243632","29.867817720243632","29.867817720243632","250","250","250","32.22634978577609","32.22634978577609","32.22634978577609","250","250","250","22.264084737046637","22.264084737046637","22.264084737046637","250","250","250","29.54738602389187","29.54738602389187","29.54738602389187","250","250","250","25.460806916339937","25.460806916339937","25.460806916339937","250","250","250","28.044557260391663","28.044557260391663","28.044557260391663","250","250","250","25.92375413842862","25.92375413842862","25.92375413842862","250","250","250","28.953576862382683","28.953576862382683","28.953576862382683","250","250","250","25.68960562504955","25.68960562504955","25.68960562504955"
