"time_steps","peach-sweep-10 - _step","peach-sweep-10 - _step__MIN","peach-sweep-10 - _step__MAX","peach-sweep-10 - episode_waypoints_percent_mean","peach-sweep-10 - episode_waypoints_percent_mean__MIN","peach-sweep-10 - episode_waypoints_percent_mean__MAX","exalted-sweep-9 - _step","exalted-sweep-9 - _step__MIN","exalted-sweep-9 - _step__MAX","exalted-sweep-9 - episode_waypoints_percent_mean","exalted-sweep-9 - episode_waypoints_percent_mean__MIN","exalted-sweep-9 - episode_waypoints_percent_mean__MAX","balmy-sweep-8 - _step","balmy-sweep-8 - _step__MIN","balmy-sweep-8 - _step__MAX","balmy-sweep-8 - episode_waypoints_percent_mean","balmy-sweep-8 - episode_waypoints_percent_mean__MIN","balmy-sweep-8 - episode_waypoints_percent_mean__MAX","still-sweep-7 - _step","still-sweep-7 - _step__MIN","still-sweep-7 - _step__MAX","still-sweep-7 - episode_waypoints_percent_mean","still-sweep-7 - episode_waypoints_percent_mean__MIN","still-sweep-7 - episode_waypoints_percent_mean__MAX","graceful-sweep-6 - _step","graceful-sweep-6 - _step__MIN","graceful-sweep-6 - _step__MAX","graceful-sweep-6 - episode_waypoints_percent_mean","graceful-sweep-6 - episode_waypoints_percent_mean__MIN","graceful-sweep-6 - episode_waypoints_percent_mean__MAX","lively-sweep-5 - _step","lively-sweep-5 - _step__MIN","lively-sweep-5 - _step__MAX","lively-sweep-5 - episode_waypoints_percent_mean","lively-sweep-5 - episode_waypoints_percent_mean__MIN","lively-sweep-5 - episode_waypoints_percent_mean__MAX","astral-sweep-4 - _step","astral-sweep-4 - _step__MIN","astral-sweep-4 - _step__MAX","astral-sweep-4 - episode_waypoints_percent_mean","astral-sweep-4 - episode_waypoints_percent_mean__MIN","astral-sweep-4 - episode_waypoints_percent_mean__MAX","light-sweep-3 - _step","light-sweep-3 - _step__MIN","light-sweep-3 - _step__MAX","light-sweep-3 - episode_waypoints_percent_mean","light-sweep-3 - episode_waypoints_percent_mean__MIN","light-sweep-3 - episode_waypoints_percent_mean__MAX","eternal-sweep-2 - _step","eternal-sweep-2 - _step__MIN","eternal-sweep-2 - _step__MAX","eternal-sweep-2 - episode_waypoints_percent_mean","eternal-sweep-2 - episode_waypoints_percent_mean__MIN","eternal-sweep-2 - episode_waypoints_percent_mean__MAX","hardy-sweep-1 - _step","hardy-sweep-1 - _step__MIN","hardy-sweep-1 - _step__MAX","hardy-sweep-1 - episode_waypoints_percent_mean","hardy-sweep-1 - episode_waypoints_percent_mean__MIN","hardy-sweep-1 - episode_waypoints_percent_mean__MAX"
"500","25","25","25","0.3101604278074866","0.3101604278074866","0.3101604278074866","25","25","25","0.26818181818181813","0.26818181818181813","0.26818181818181813","25","25","25","0.3315508021390374","0.3315508021390374","0.3315508021390374","25","25","25","0.320855614973262","0.320855614973262","0.320855614973262","25","25","25","0.29797979797979796","0.29797979797979796","0.29797979797979796","25","25","25","0.2727272727272727","0.2727272727272727","0.2727272727272727","25","25","25","0.28787878787878785","0.28787878787878785","0.28787878787878785","25","25","25","0.2780748663101604","0.2780748663101604","0.2780748663101604","25","25","25","0.35795454545454547","0.35795454545454547","0.35795454545454547","25","25","25","0.3393939393939393","0.3393939393939393","0.3393939393939393"
"1000","50","50","50","0.27636363636363637","0.27636363636363637","0.27636363636363637","50","50","50","0.39272727272727276","0.39272727272727276","0.39272727272727276","50","50","50","0.3854545454545455","0.3854545454545455","0.3854545454545455","50","50","50","0.3527272727272727","0.3527272727272727","0.3527272727272727","50","50","50","0.34909090909090906","0.34909090909090906","0.34909090909090906","50","50","50","0.3127272727272727","0.3127272727272727","0.3127272727272727","50","50","50","0.2872727272727273","0.2872727272727273","0.2872727272727273","50","50","50","0.34181818181818185","0.34181818181818185","0.34181818181818185","50","50","50","0.3454545454545454","0.3454545454545454","0.3454545454545454","50","50","50","0.28","0.28","0.28"
"1500","75","75","75","0.3018181818181818","0.3018181818181818","0.3018181818181818","75","75","75","0.4","0.4","0.4","75","75","75","0.3090909090909091","0.3090909090909091","0.3090909090909091","75","75","75","0.3563636363636364","0.3563636363636364","0.3563636363636364","75","75","75","0.36363636363636354","0.36363636363636354","0.36363636363636354","75","75","75","0.43636363636363634","0.43636363636363634","0.43636363636363634","75","75","75","0.31636363636363635","0.31636363636363635","0.31636363636363635","75","75","75","0.3781818181818182","0.3781818181818182","0.3781818181818182","75","75","75","0.29090909090909084","0.29090909090909084","0.29090909090909084","75","75","75","0.3381818181818182","0.3381818181818182","0.3381818181818182"
"2000","100","100","100","0.33818181818181814","0.33818181818181814","0.33818181818181814","100","100","100","0.4000000000000001","0.4000000000000001","0.4000000000000001","100","100","100","0.3563636363636363","0.3563636363636363","0.3563636363636363","100","100","100","0.3636363636363636","0.3636363636363636","0.3636363636363636","100","100","100","0.4363636363636364","0.4363636363636364","0.4363636363636364","100","100","100","0.34909090909090906","0.34909090909090906","0.34909090909090906","100","100","100","0.3781818181818182","0.3781818181818182","0.3781818181818182","100","100","100","0.3963636363636363","0.3963636363636363","0.3963636363636363","100","100","100","0.3709090909090909","0.3709090909090909","0.3709090909090909","100","100","100","0.3781818181818181","0.3781818181818181","0.3781818181818181"
"2500","125","125","125","0.3854545454545455","0.3854545454545455","0.3854545454545455","125","125","125","0.43636363636363634","0.43636363636363634","0.43636363636363634","125","125","125","0.34909090909090906","0.34909090909090906","0.34909090909090906","125","125","125","0.4509090909090908","0.4509090909090908","0.4509090909090908","125","125","125","0.4727272727272727","0.4727272727272727","0.4727272727272727","125","125","125","0.41818181818181815","0.41818181818181815","0.41818181818181815","125","125","125","0.3781818181818182","0.3781818181818182","0.3781818181818182","125","125","125","0.4290909090909091","0.4290909090909091","0.4290909090909091","125","125","125","0.4","0.4","0.4","125","125","125","0.3963636363636363","0.3963636363636363","0.3963636363636363"
"3000","150","150","150","0.4581818181818182","0.4581818181818182","0.4581818181818182","150","150","150","0.47272727272727266","0.47272727272727266","0.47272727272727266","150","150","150","0.3672727272727272","0.3672727272727272","0.3672727272727272","150","150","150","0.40363636363636357","0.40363636363636357","0.40363636363636357","150","150","150","0.3709090909090909","0.3709090909090909","0.3709090909090909","150","150","150","0.48","0.48","0.48","150","150","150","0.4618181818181818","0.4618181818181818","0.4618181818181818","150","150","150","0.4363636363636364","0.4363636363636364","0.4363636363636364","150","150","150","0.34545454545454546","0.34545454545454546","0.34545454545454546","150","150","150","0.3963636363636363","0.3963636363636363","0.3963636363636363"
"3500","175","175","175","0.48727272727272725","0.48727272727272725","0.48727272727272725","175","175","175","0.5272727272727272","0.5272727272727272","0.5272727272727272","175","175","175","0.3818181818181817","0.3818181818181817","0.3818181818181817","175","175","175","0.3963636363636363","0.3963636363636363","0.3963636363636363","175","175","175","0.4","0.4","0.4","175","175","175","0.4436363636363636","0.4436363636363636","0.4436363636363636","175","175","175","0.4036363636363637","0.4036363636363637","0.4036363636363637","175","175","175","0.4945454545454545","0.4945454545454545","0.4945454545454545","175","175","175","0.4181818181818182","0.4181818181818182","0.4181818181818182","175","175","175","0.5345454545454545","0.5345454545454545","0.5345454545454545"
"4000","200","200","200","0.5163636363636364","0.5163636363636364","0.5163636363636364","200","200","200","0.36727272727272725","0.36727272727272725","0.36727272727272725","200","200","200","0.4254545454545454","0.4254545454545454","0.4254545454545454","200","200","200","0.5272727272727273","0.5272727272727273","0.5272727272727273","200","200","200","0.3818181818181818","0.3818181818181818","0.3818181818181818","200","200","200","0.4836363636363636","0.4836363636363636","0.4836363636363636","200","200","200","0.5236363636363636","0.5236363636363636","0.5236363636363636","200","200","200","0.5490909090909092","0.5490909090909092","0.5490909090909092","200","200","200","0.4945454545454545","0.4945454545454545","0.4945454545454545","200","200","200","0.5636363636363636","0.5636363636363636","0.5636363636363636"
"4500","225","225","225","0.3854545454545455","0.3854545454545455","0.3854545454545455","225","225","225","0.43636363636363634","0.43636363636363634","0.43636363636363634","225","225","225","0.4763636363636363","0.4763636363636363","0.4763636363636363","225","225","225","0.4618181818181818","0.4618181818181818","0.4618181818181818","225","225","225","0.4763636363636363","0.4763636363636363","0.4763636363636363","225","225","225","0.42909090909090913","0.42909090909090913","0.42909090909090913","225","225","225","0.5418181818181818","0.5418181818181818","0.5418181818181818","225","225","225","0.5127272727272728","0.5127272727272728","0.5127272727272728","225","225","225","0.5454545454545454","0.5454545454545454","0.5454545454545454","225","225","225","0.5418181818181818","0.5418181818181818","0.5418181818181818"
"5000","250","250","250","0.4763636363636363","0.4763636363636363","0.4763636363636363","250","250","250","0.4836363636363636","0.4836363636363636","0.4836363636363636","250","250","250","0.5563636363636363","0.5563636363636363","0.5563636363636363","250","250","250","0.44","0.44","0.44","250","250","250","0.5018181818181818","0.5018181818181818","0.5018181818181818","250","250","250","0.5018181818181818","0.5018181818181818","0.5018181818181818","250","250","250","0.509090909090909","0.509090909090909","0.509090909090909","250","250","250","0.5199999999999999","0.5199999999999999","0.5199999999999999","250","250","250","0.5490909090909091","0.5490909090909091","0.5490909090909091","250","250","250","0.48","0.48","0.48"
