"time_steps","silvery-sweep-6 - _step","silvery-sweep-6 - _step__MIN","silvery-sweep-6 - _step__MAX","silvery-sweep-6 - collision_end_mean","silvery-sweep-6 - collision_end_mean__MIN","silvery-sweep-6 - collision_end_mean__MAX","jumping-sweep-5 - _step","jumping-sweep-5 - _step__MIN","jumping-sweep-5 - _step__MAX","jumping-sweep-5 - collision_end_mean","jumping-sweep-5 - collision_end_mean__MIN","jumping-sweep-5 - collision_end_mean__MAX","zany-sweep-4 - _step","zany-sweep-4 - _step__MIN","zany-sweep-4 - _step__MAX","zany-sweep-4 - collision_end_mean","zany-sweep-4 - collision_end_mean__MIN","zany-sweep-4 - collision_end_mean__MAX","visionary-sweep-3 - _step","visionary-sweep-3 - _step__MIN","visionary-sweep-3 - _step__MAX","visionary-sweep-3 - collision_end_mean","visionary-sweep-3 - collision_end_mean__MIN","visionary-sweep-3 - collision_end_mean__MAX","wandering-sweep-2 - _step","wandering-sweep-2 - _step__MIN","wandering-sweep-2 - _step__MAX","wandering-sweep-2 - collision_end_mean","wandering-sweep-2 - collision_end_mean__MIN","wandering-sweep-2 - collision_end_mean__MAX","eager-sweep-5 - _step","eager-sweep-5 - _step__MIN","eager-sweep-5 - _step__MAX","eager-sweep-5 - collision_end_mean","eager-sweep-5 - collision_end_mean__MIN","eager-sweep-5 - collision_end_mean__MAX","wild-sweep-3 - _step","wild-sweep-3 - _step__MIN","wild-sweep-3 - _step__MAX","wild-sweep-3 - collision_end_mean","wild-sweep-3 - collision_end_mean__MIN","wild-sweep-3 - collision_end_mean__MAX","blooming-sweep-4 - _step","blooming-sweep-4 - _step__MIN","blooming-sweep-4 - _step__MAX","blooming-sweep-4 - collision_end_mean","blooming-sweep-4 - collision_end_mean__MIN","blooming-sweep-4 - collision_end_mean__MAX","worldly-sweep-2 - _step","worldly-sweep-2 - _step__MIN","worldly-sweep-2 - _step__MAX","worldly-sweep-2 - collision_end_mean","worldly-sweep-2 - collision_end_mean__MIN","worldly-sweep-2 - collision_end_mean__MAX","eager-sweep-1 - _step","eager-sweep-1 - _step__MIN","eager-sweep-1 - _step__MAX","eager-sweep-1 - collision_end_mean","eager-sweep-1 - collision_end_mean__MIN","eager-sweep-1 - collision_end_mean__MAX"
"1000","25","25","25","0.04","0.04","0.04","25","25","25","0.04","0.04","0.04","25","25","25","0.08","0.08","0.08","25","25","25","0","0","0","25","25","25","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1500","50","50","50","0.08","0.08","0.08","50","50","50","0","0","0","50","50","50","0.08","0.08","0.08","50","50","50","0","0","0","50","50","50","0.04","0.04","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","75","75","75","0","0","0","75","75","75","0.12","0.12","0.12","75","75","75","0.04","0.04","0.04","75","75","75","0","0","0","75","75","75","0.08","0.08","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2500","100","100","100","0","0","0","100","100","100","0","0","0","100","100","100","0","0","0","100","100","100","0.04","0.04","0.04","100","100","100","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3000","125","125","125","0.08","0.08","0.08","125","125","125","0.04","0.04","0.04","125","125","125","0","0","0","125","125","125","0.04","0.04","0.04","125","125","125","0.04","0.04","0.04","25","25","25","0.12","0.12","0.12","25","25","25","0","0","0","25","25","25","0.04","0.04","0.04","25","25","25","0.08","0.08","0.08","25","25","25","0","0","0"
"3500","150","150","150","0.08","0.08","0.08","150","150","150","0","0","0","150","150","150","0","0","0","150","150","150","0.04","0.04","0.04","150","150","150","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4000","175","175","175","0","0","0","175","175","175","0.04","0.04","0.04","175","175","175","0.04","0.04","0.04","175","175","175","0","0","0","175","175","175","0.2","0.2","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4500","200","200","200","0.04","0.04","0.04","200","200","200","0.04","0.04","0.04","200","200","200","0.12","0.12","0.12","200","200","200","0.04","0.04","0.04","200","200","200","0.04","0.04","0.04","50","50","50","0","0","0","50","50","50","0.04","0.04","0.04","50","50","50","0.04","0.04","0.04","50","50","50","0.16","0.16","0.16","50","50","50","0.08","0.08","0.08"
"5000","225","225","225","0","0","0","225","225","225","0.16","0.16","0.16","225","225","225","0.08","0.08","0.08","225","225","225","0.08","0.08","0.08","225","225","225","0.04","0.04","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5500","250","250","250","0","0","0","250","250","250","0.12","0.12","0.12","250","250","250","0.04","0.04","0.04","250","250","250","0.12","0.12","0.12","250","250","250","0.12","0.12","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
