"time_steps","silvery-sweep-6 - _step","silvery-sweep-6 - _step__MIN","silvery-sweep-6 - _step__MAX","silvery-sweep-6 - r_mean","silvery-sweep-6 - r_mean__MIN","silvery-sweep-6 - r_mean__MAX","jumping-sweep-5 - _step","jumping-sweep-5 - _step__MIN","jumping-sweep-5 - _step__MAX","jumping-sweep-5 - r_mean","jumping-sweep-5 - r_mean__MIN","jumping-sweep-5 - r_mean__MAX","zany-sweep-4 - _step","zany-sweep-4 - _step__MIN","zany-sweep-4 - _step__MAX","zany-sweep-4 - r_mean","zany-sweep-4 - r_mean__MIN","zany-sweep-4 - r_mean__MAX","visionary-sweep-3 - _step","visionary-sweep-3 - _step__MIN","visionary-sweep-3 - _step__MAX","visionary-sweep-3 - r_mean","visionary-sweep-3 - r_mean__MIN","visionary-sweep-3 - r_mean__MAX","wandering-sweep-2 - _step","wandering-sweep-2 - _step__MIN","wandering-sweep-2 - _step__MAX","wandering-sweep-2 - r_mean","wandering-sweep-2 - r_mean__MIN","wandering-sweep-2 - r_mean__MAX","eager-sweep-5 - _step","eager-sweep-5 - _step__MIN","eager-sweep-5 - _step__MAX","eager-sweep-5 - r_mean","eager-sweep-5 - r_mean__MIN","eager-sweep-5 - r_mean__MAX","wild-sweep-3 - _step","wild-sweep-3 - _step__MIN","wild-sweep-3 - _step__MAX","wild-sweep-3 - r_mean","wild-sweep-3 - r_mean__MIN","wild-sweep-3 - r_mean__MAX","blooming-sweep-4 - _step","blooming-sweep-4 - _step__MIN","blooming-sweep-4 - _step__MAX","blooming-sweep-4 - r_mean","blooming-sweep-4 - r_mean__MIN","blooming-sweep-4 - r_mean__MAX","worldly-sweep-2 - _step","worldly-sweep-2 - _step__MIN","worldly-sweep-2 - _step__MAX","worldly-sweep-2 - r_mean","worldly-sweep-2 - r_mean__MIN","worldly-sweep-2 - r_mean__MAX","eager-sweep-1 - _step","eager-sweep-1 - _step__MIN","eager-sweep-1 - _step__MAX","eager-sweep-1 - r_mean","eager-sweep-1 - r_mean__MIN","eager-sweep-1 - r_mean__MAX"
"1000","25","25","25","18.977574484555632","18.977574484555632","18.977574484555632","25","25","25","15.694524487606472","15.694524487606472","15.694524487606472","25","25","25","18.123060318892136","18.123060318892136","18.123060318892136","25","25","25","16.931743273784328","16.931743273784328","16.931743273784328","25","25","25","16.218278328962228","16.218278328962228","16.218278328962228","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1500","50","50","50","18.24591444548585","18.24591444548585","18.24591444548585","50","50","50","15.882562011572201","15.882562011572201","15.882562011572201","50","50","50","16.778250867957567","16.778250867957567","16.778250867957567","50","50","50","14.435451561910691","14.435451561910691","14.435451561910691","50","50","50","16.984572704497474","16.984572704497474","16.984572704497474","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","75","75","75","17.68019474224636","17.68019474224636","17.68019474224636","75","75","75","16.943113030942023","16.943113030942023","16.943113030942023","75","75","75","21.620086223935562","21.620086223935562","21.620086223935562","75","75","75","18.131995305733803","18.131995305733803","18.131995305733803","75","75","75","17.330674920659686","17.330674920659686","17.330674920659686","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2500","100","100","100","18.219289268371547","18.219289268371547","18.219289268371547","100","100","100","16.781966818675716","16.781966818675716","16.781966818675716","100","100","100","19.222526738078663","19.222526738078663","19.222526738078663","100","100","100","18.86566317112321","18.86566317112321","18.86566317112321","100","100","100","18.690131397544732","18.690131397544732","18.690131397544732","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3000","125","125","125","18.149684904812947","18.149684904812947","18.149684904812947","125","125","125","16.541981792303048","16.541981792303048","16.541981792303048","125","125","125","17.52127522679103","17.52127522679103","17.52127522679103","125","125","125","21.314187854574044","21.314187854574044","21.314187854574044","125","125","125","20.52746921272917","20.52746921272917","20.52746921272917","25","25","25","16.903493498865092","16.903493498865092","16.903493498865092","25","25","25","16.51187295173869","16.51187295173869","16.51187295173869","25","25","25","17.955865497316463","17.955865497316463","17.955865497316463","25","25","25","17.907315022032527","17.907315022032527","17.907315022032527","25","25","25","15.997612335810144","15.997612335810144","15.997612335810144"
"3500","150","150","150","18.239403371041092","18.239403371041092","18.239403371041092","150","150","150","17.151613851671424","17.151613851671424","17.151613851671424","150","150","150","17.670379826809768","17.670379826809768","17.670379826809768","150","150","150","18.001149294560864","18.001149294560864","18.001149294560864","150","150","150","17.243057497782925","17.243057497782925","17.243057497782925","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4000","175","175","175","18.261566508305695","18.261566508305695","18.261566508305695","175","175","175","16.859402428712812","16.859402428712812","16.859402428712812","175","175","175","19.336304674577374","19.336304674577374","19.336304674577374","175","175","175","17.2632932162576","17.2632932162576","17.2632932162576","175","175","175","20.117879920058716","20.117879920058716","20.117879920058716","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4500","200","200","200","17.919284226280755","17.919284226280755","17.919284226280755","200","200","200","16.98632292334016","16.98632292334016","16.98632292334016","200","200","200","21.684677288720867","21.684677288720867","21.684677288720867","200","200","200","16.666276827449476","16.666276827449476","16.666276827449476","200","200","200","17.093818607007154","17.093818607007154","17.093818607007154","50","50","50","17.87140833177628","17.87140833177628","17.87140833177628","50","50","50","20.05121139242757","20.05121139242757","20.05121139242757","50","50","50","16.16745280006186","16.16745280006186","16.16745280006186","50","50","50","22.437245715704293","22.437245715704293","22.437245715704293","50","50","50","18.74714277884616","18.74714277884616","18.74714277884616"
"5000","225","225","225","20.723813804479494","20.723813804479494","20.723813804479494","225","225","225","21.228304150994198","21.228304150994198","21.228304150994198","225","225","225","18.323537029767074","18.323537029767074","18.323537029767074","225","225","225","19.091629793164408","19.091629793164408","19.091629793164408","225","225","225","20.18498963699336","20.18498963699336","20.18498963699336","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5500","250","250","250","19.008959085503086","19.008959085503086","19.008959085503086","250","250","250","20.8930665080925","20.8930665080925","20.8930665080925","250","250","250","18.472938502928216","18.472938502928216","18.472938502928216","250","250","250","18.91211726031248","18.91211726031248","18.91211726031248","250","250","250","20.387830096760243","20.387830096760243","20.387830096760243","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
