"time_steps","wandering-sweep-4 - _step","wandering-sweep-4 - _step__MIN","wandering-sweep-4 - _step__MAX","wandering-sweep-4 - agent_eval_collision_end_mean","wandering-sweep-4 - agent_eval_collision_end_mean__MIN","wandering-sweep-4 - agent_eval_collision_end_mean__MAX","sweet-sweep-3 - _step","sweet-sweep-3 - _step__MIN","sweet-sweep-3 - _step__MAX","sweet-sweep-3 - agent_eval_collision_end_mean","sweet-sweep-3 - agent_eval_collision_end_mean__MIN","sweet-sweep-3 - agent_eval_collision_end_mean__MAX","lucky-sweep-2 - _step","lucky-sweep-2 - _step__MIN","lucky-sweep-2 - _step__MAX","lucky-sweep-2 - agent_eval_collision_end_mean","lucky-sweep-2 - agent_eval_collision_end_mean__MIN","lucky-sweep-2 - agent_eval_collision_end_mean__MAX","clear-sweep-1 - _step","clear-sweep-1 - _step__MIN","clear-sweep-1 - _step__MAX","clear-sweep-1 - agent_eval_collision_end_mean","clear-sweep-1 - agent_eval_collision_end_mean__MIN","clear-sweep-1 - agent_eval_collision_end_mean__MAX","playful-sweep-10 - _step","playful-sweep-10 - _step__MIN","playful-sweep-10 - _step__MAX","playful-sweep-10 - agent_eval_collision_end_mean","playful-sweep-10 - agent_eval_collision_end_mean__MIN","playful-sweep-10 - agent_eval_collision_end_mean__MAX","fresh-sweep-8 - _step","fresh-sweep-8 - _step__MIN","fresh-sweep-8 - _step__MAX","fresh-sweep-8 - agent_eval_collision_end_mean","fresh-sweep-8 - agent_eval_collision_end_mean__MIN","fresh-sweep-8 - agent_eval_collision_end_mean__MAX","jumping-sweep-5 - _step","jumping-sweep-5 - _step__MIN","jumping-sweep-5 - _step__MAX","jumping-sweep-5 - agent_eval_collision_end_mean","jumping-sweep-5 - agent_eval_collision_end_mean__MIN","jumping-sweep-5 - agent_eval_collision_end_mean__MAX","good-sweep-4 - _step","good-sweep-4 - _step__MIN","good-sweep-4 - _step__MAX","good-sweep-4 - agent_eval_collision_end_mean","good-sweep-4 - agent_eval_collision_end_mean__MIN","good-sweep-4 - agent_eval_collision_end_mean__MAX","sandy-sweep-3 - _step","sandy-sweep-3 - _step__MIN","sandy-sweep-3 - _step__MAX","sandy-sweep-3 - agent_eval_collision_end_mean","sandy-sweep-3 - agent_eval_collision_end_mean__MIN","sandy-sweep-3 - agent_eval_collision_end_mean__MAX","youthful-sweep-1 - _step","youthful-sweep-1 - _step__MIN","youthful-sweep-1 - _step__MAX","youthful-sweep-1 - agent_eval_collision_end_mean","youthful-sweep-1 - agent_eval_collision_end_mean__MIN","youthful-sweep-1 - agent_eval_collision_end_mean__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1500","5","5","5","0","0","0","5","5","5","0","0","0","5","5","5","0","0","0","5","5","5","0","0","0","5","5","5","0","0","0","5","5","5","0","0","0","5","5","5","0","0","0","5","5","5","0","0","0","5","5","5","0","0","0","5","5","5","0","0","0"
"3000","10","10","10","0","0","0","10","10","10","0","0","0","10","10","10","0","0","0","10","10","10","0","0","0","10","10","10","0","0","0","10","10","10","0","0","0","10","10","10","0","0","0","10","10","10","0","0","0","10","10","10","0","0","0","10","10","10","0","0","0"
"4500","15","15","15","0","0","0","15","15","15","0","0","0","15","15","15","0","0","0","15","15","15","0","0","0","15","15","15","0","0","0","15","15","15","0","0","0","15","15","15","0","0","0","15","15","15","0","0","0","15","15","15","0","0","0","15","15","15","0","0","0"
"6000","20","20","20","0","0","0","20","20","20","0","0","0","20","20","20","0","0","0","20","20","20","0","0","0","20","20","20","0","0","0","20","20","20","0","0","0","20","20","20","0","0","0","20","20","20","0","0","0","20","20","20","0","0","0","20","20","20","0","0","0"
"7500","25","25","25","0","0","0","25","25","25","0","0","0","25","25","25","0","0","0","25","25","25","0","0","0","25","25","25","0","0","0","25","25","25","0","0","0","25","25","25","0","0","0","25","25","25","0","0","0","25","25","25","0","0","0","25","25","25","0","0","0"
"9000","30","30","30","0","0","0","30","30","30","0","0","0","30","30","30","0","0","0","30","30","30","0","0","0","30","30","30","0","0","0","30","30","30","0","0","0","30","30","30","0","0","0","30","30","30","0","0","0","30","30","30","0","0","0","30","30","30","0","0","0"
"10500","35","35","35","0","0","0","35","35","35","0","0","0","35","35","35","0","0","0","35","35","35","0","0","0","35","35","35","0","0","0","35","35","35","0","0","0","35","35","35","0","0","0","35","35","35","0","0","0","35","35","35","0","0","0","35","35","35","0","0","0"
"12000","40","40","40","0","0","0","40","40","40","0","0","0","40","40","40","0","0","0","40","40","40","0","0","0","40","40","40","0","0","0","40","40","40","0","0","0","40","40","40","0","0","0","40","40","40","0","0","0","40","40","40","0","0","0","40","40","40","0","0","0"
"13500","45","45","45","0","0","0","45","45","45","0","0","0","45","45","45","0","0","0","45","45","45","0","0","0","45","45","45","0","0","0","45","45","45","0","0","0","45","45","45","0","0","0","45","45","45","0","0","0","45","45","45","0","0","0","45","45","45","0","0","0"
"15000","50","50","50","0","0","0","50","50","50","0","0","0","50","50","50","0","0","0","50","50","50","0","0","0","50","50","50","0","0","0","50","50","50","0","0","0","50","50","50","0","0","0","50","50","50","0","0","0","50","50","50","0","0","0","50","50","50","0","0","0"
"16500","55","55","55","0","0","0","55","55","55","0","0","0","55","55","55","0","0","0","55","55","55","0","0","0","55","55","55","0","0","0","55","55","55","0","0","0","55","55","55","0","0","0","55","55","55","0","0","0","55","55","55","0","0","0","55","55","55","0","0","0"
"18000","60","60","60","0.3333333333333333","0.3333333333333333","0.3333333333333333","60","60","60","0","0","0","60","60","60","0","0","0","60","60","60","0.3333333333333333","0.3333333333333333","0.3333333333333333","60","60","60","0","0","0","60","60","60","0","0","0","60","60","60","0","0","0","60","60","60","0","0","0","60","60","60","0","0","0","60","60","60","0","0","0"
