"time_steps","wandering-sweep-4 - _step","wandering-sweep-4 - _step__MIN","wandering-sweep-4 - _step__MAX","wandering-sweep-4 - agent_avg_eval_r_mean","wandering-sweep-4 - agent_avg_eval_r_mean__MIN","wandering-sweep-4 - agent_avg_eval_r_mean__MAX","sweet-sweep-3 - _step","sweet-sweep-3 - _step__MIN","sweet-sweep-3 - _step__MAX","sweet-sweep-3 - agent_avg_eval_r_mean","sweet-sweep-3 - agent_avg_eval_r_mean__MIN","sweet-sweep-3 - agent_avg_eval_r_mean__MAX","lucky-sweep-2 - _step","lucky-sweep-2 - _step__MIN","lucky-sweep-2 - _step__MAX","lucky-sweep-2 - agent_avg_eval_r_mean","lucky-sweep-2 - agent_avg_eval_r_mean__MIN","lucky-sweep-2 - agent_avg_eval_r_mean__MAX","clear-sweep-1 - _step","clear-sweep-1 - _step__MIN","clear-sweep-1 - _step__MAX","clear-sweep-1 - agent_avg_eval_r_mean","clear-sweep-1 - agent_avg_eval_r_mean__MIN","clear-sweep-1 - agent_avg_eval_r_mean__MAX","playful-sweep-10 - _step","playful-sweep-10 - _step__MIN","playful-sweep-10 - _step__MAX","playful-sweep-10 - agent_avg_eval_r_mean","playful-sweep-10 - agent_avg_eval_r_mean__MIN","playful-sweep-10 - agent_avg_eval_r_mean__MAX","fresh-sweep-8 - _step","fresh-sweep-8 - _step__MIN","fresh-sweep-8 - _step__MAX","fresh-sweep-8 - agent_avg_eval_r_mean","fresh-sweep-8 - agent_avg_eval_r_mean__MIN","fresh-sweep-8 - agent_avg_eval_r_mean__MAX","jumping-sweep-5 - _step","jumping-sweep-5 - _step__MIN","jumping-sweep-5 - _step__MAX","jumping-sweep-5 - agent_avg_eval_r_mean","jumping-sweep-5 - agent_avg_eval_r_mean__MIN","jumping-sweep-5 - agent_avg_eval_r_mean__MAX","good-sweep-4 - _step","good-sweep-4 - _step__MIN","good-sweep-4 - _step__MAX","good-sweep-4 - agent_avg_eval_r_mean","good-sweep-4 - agent_avg_eval_r_mean__MIN","good-sweep-4 - agent_avg_eval_r_mean__MAX","sandy-sweep-3 - _step","sandy-sweep-3 - _step__MIN","sandy-sweep-3 - _step__MAX","sandy-sweep-3 - agent_avg_eval_r_mean","sandy-sweep-3 - agent_avg_eval_r_mean__MIN","sandy-sweep-3 - agent_avg_eval_r_mean__MAX","youthful-sweep-1 - _step","youthful-sweep-1 - _step__MIN","youthful-sweep-1 - _step__MAX","youthful-sweep-1 - agent_avg_eval_r_mean","youthful-sweep-1 - agent_avg_eval_r_mean__MIN","youthful-sweep-1 - agent_avg_eval_r_mean__MAX"
"0","0","0","0","20.863276633624213","20.863276633624213","20.863276633624213","0","0","0","19.982144726479316","19.982144726479316","19.982144726479316","0","0","0","18.537906555080554","18.537906555080554","18.537906555080554","0","0","0","18.578221031809043","18.578221031809043","18.578221031809043","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1500","5","5","5","23.85062158006616","23.85062158006616","23.85062158006616","5","5","5","27.035288377231094","27.035288377231094","27.035288377231094","5","5","5","18.081532318095284","18.081532318095284","18.081532318095284","5","5","5","22.470431217164148","22.470431217164148","22.470431217164148","5","5","5","15.920791491649794","15.920791491649794","15.920791491649794","5","5","5","13.376971522057545","13.376971522057545","13.376971522057545","5","5","5","22.823165873031627","22.823165873031627","22.823165873031627","5","5","5","21.57709268306822","21.57709268306822","21.57709268306822","5","5","5","15.667871895538077","15.667871895538077","15.667871895538077","5","5","5","16.0392514893283","16.0392514893283","16.0392514893283"
"3000","10","10","10","21.322190188104706","21.322190188104706","21.322190188104706","10","10","10","22.641216497791298","22.641216497791298","22.641216497791298","10","10","10","19.780817349533805","19.780817349533805","19.780817349533805","10","10","10","21.606992757207266","21.606992757207266","21.606992757207266","10","10","10","15.645206735853588","15.645206735853588","15.645206735853588","10","10","10","17.607963872597423","17.607963872597423","17.607963872597423","10","10","10","19.049193103883553","19.049193103883553","19.049193103883553","10","10","10","19.20172607977171","19.20172607977171","19.20172607977171","10","10","10","18.673483484532284","18.673483484532284","18.673483484532284","10","10","10","15.712333909216667","15.712333909216667","15.712333909216667"
"4500","15","15","15","22.47289750006449","22.47289750006449","22.47289750006449","15","15","15","20.78729841427913","20.78729841427913","20.78729841427913","15","15","15","20.04482387432707","20.04482387432707","20.04482387432707","15","15","15","23.490293969986695","23.490293969986695","23.490293969986695","15","15","15","18.748501637764903","18.748501637764903","18.748501637764903","15","15","15","18.490516625667343","18.490516625667343","18.490516625667343","15","15","15","19.329302096888544","19.329302096888544","19.329302096888544","15","15","15","20.05268888563475","20.05268888563475","20.05268888563475","15","15","15","21.84853945717873","21.84853945717873","21.84853945717873","15","15","15","17.739798578142427","17.739798578142427","17.739798578142427"
"6000","20","20","20","21.08369297674687","21.08369297674687","21.08369297674687","20","20","20","21.962533142080733","21.962533142080733","21.962533142080733","20","20","20","18.40586804030462","18.40586804030462","18.40586804030462","20","20","20","21.431468841396583","21.431468841396583","21.431468841396583","20","20","20","18.40110804569215","18.40110804569215","18.40110804569215","20","20","20","20.255261332442306","20.255261332442306","20.255261332442306","20","20","20","18.17648289941757","18.17648289941757","18.17648289941757","20","20","20","21.08873040574689","21.08873040574689","21.08873040574689","20","20","20","21.718252446527785","21.718252446527785","21.718252446527785","20","20","20","17.326841846647334","17.326841846647334","17.326841846647334"
"7500","25","25","25","23.057904347639926","23.057904347639926","23.057904347639926","25","25","25","22.784379088248404","22.784379088248404","22.784379088248404","25","25","25","21.060079573120134","21.060079573120134","21.060079573120134","25","25","25","22.306866014489657","22.306866014489657","22.306866014489657","25","25","25","18.94553875410343","18.94553875410343","18.94553875410343","25","25","25","19.525447500312396","19.525447500312396","19.525447500312396","25","25","25","20.10539793139746","20.10539793139746","20.10539793139746","25","25","25","20.375787931507595","20.375787931507595","20.375787931507595","25","25","25","22.608957042770875","22.608957042770875","22.608957042770875","25","25","25","19.022978740647876","19.022978740647876","19.022978740647876"
"9000","30","30","30","25.313553547948157","25.313553547948157","25.313553547948157","30","30","30","22.169803140559154","22.169803140559154","22.169803140559154","30","30","30","20.399831263826027","20.399831263826027","20.399831263826027","30","30","30","23.28533040464117","23.28533040464117","23.28533040464117","30","30","30","19.568594866747834","19.568594866747834","19.568594866747834","30","30","30","20.247307981443956","20.247307981443956","20.247307981443956","30","30","30","20.666777671187216","20.666777671187216","20.666777671187216","30","30","30","19.644652716181596","19.644652716181596","19.644652716181596","30","30","30","24.953593686622572","24.953593686622572","24.953593686622572","30","30","30","21.277257494729852","21.277257494729852","21.277257494729852"
"10500","35","35","35","25.92555779922958","25.92555779922958","25.92555779922958","35","35","35","21.75587231983321","21.75587231983321","21.75587231983321","35","35","35","20.033842582111422","20.033842582111422","20.033842582111422","35","35","35","22.529176881953845","22.529176881953845","22.529176881953845","35","35","35","18.96824664177513","18.96824664177513","18.96824664177513","35","35","35","21.86972414117962","21.86972414117962","21.86972414117962","35","35","35","19.254482942231192","19.254482942231192","19.254482942231192","35","35","35","19.315054522917695","19.315054522917695","19.315054522917695","35","35","35","23.401191688282236","23.401191688282236","23.401191688282236","35","35","35","20.40373836280341","20.40373836280341","20.40373836280341"
"12000","40","40","40","25.593914054116777","25.593914054116777","25.593914054116777","40","40","40","22.040909485654243","22.040909485654243","22.040909485654243","40","40","40","19.55368809344591","19.55368809344591","19.55368809344591","40","40","40","22.600473426547968","22.600473426547968","22.600473426547968","40","40","40","19.947276601774988","19.947276601774988","19.947276601774988","40","40","40","21.913202454717013","21.913202454717013","21.913202454717013","40","40","40","19.033659506270748","19.033659506270748","19.033659506270748","40","40","40","19.48916723914187","19.48916723914187","19.48916723914187","40","40","40","23.12350979457491","23.12350979457491","23.12350979457491","40","40","40","21.775957117113943","21.775957117113943","21.775957117113943"
"13500","45","45","45","24.94277625846501","24.94277625846501","24.94277625846501","45","45","45","21.16179964254071","21.16179964254071","21.16179964254071","45","45","45","18.766883388319513","18.766883388319513","18.766883388319513","45","45","45","22.04972936189141","22.04972936189141","22.04972936189141","45","45","45","19.451708798940114","19.451708798940114","19.451708798940114","45","45","45","21.62799955343297","21.62799955343297","21.62799955343297","45","45","45","20.14698042070805","20.14698042070805","20.14698042070805","45","45","45","19.901064915839623","19.901064915839623","19.901064915839623","45","45","45","23.480052109385586","23.480052109385586","23.480052109385586","45","45","45","22.659022061266516","22.659022061266516","22.659022061266516"
