"time_steps","wandering-sweep-4 - _step","wandering-sweep-4 - _step__MIN","wandering-sweep-4 - _step__MAX","wandering-sweep-4 - agent_eval_episode_waypoints_percent_mean","wandering-sweep-4 - agent_eval_episode_waypoints_percent_mean__MIN","wandering-sweep-4 - agent_eval_episode_waypoints_percent_mean__MAX","sweet-sweep-3 - _step","sweet-sweep-3 - _step__MIN","sweet-sweep-3 - _step__MAX","sweet-sweep-3 - agent_eval_episode_waypoints_percent_mean","sweet-sweep-3 - agent_eval_episode_waypoints_percent_mean__MIN","sweet-sweep-3 - agent_eval_episode_waypoints_percent_mean__MAX","lucky-sweep-2 - _step","lucky-sweep-2 - _step__MIN","lucky-sweep-2 - _step__MAX","lucky-sweep-2 - agent_eval_episode_waypoints_percent_mean","lucky-sweep-2 - agent_eval_episode_waypoints_percent_mean__MIN","lucky-sweep-2 - agent_eval_episode_waypoints_percent_mean__MAX","clear-sweep-1 - _step","clear-sweep-1 - _step__MIN","clear-sweep-1 - _step__MAX","clear-sweep-1 - agent_eval_episode_waypoints_percent_mean","clear-sweep-1 - agent_eval_episode_waypoints_percent_mean__MIN","clear-sweep-1 - agent_eval_episode_waypoints_percent_mean__MAX","playful-sweep-10 - _step","playful-sweep-10 - _step__MIN","playful-sweep-10 - _step__MAX","playful-sweep-10 - agent_eval_episode_waypoints_percent_mean","playful-sweep-10 - agent_eval_episode_waypoints_percent_mean__MIN","playful-sweep-10 - agent_eval_episode_waypoints_percent_mean__MAX","fresh-sweep-8 - _step","fresh-sweep-8 - _step__MIN","fresh-sweep-8 - _step__MAX","fresh-sweep-8 - agent_eval_episode_waypoints_percent_mean","fresh-sweep-8 - agent_eval_episode_waypoints_percent_mean__MIN","fresh-sweep-8 - agent_eval_episode_waypoints_percent_mean__MAX","jumping-sweep-5 - _step","jumping-sweep-5 - _step__MIN","jumping-sweep-5 - _step__MAX","jumping-sweep-5 - agent_eval_episode_waypoints_percent_mean","jumping-sweep-5 - agent_eval_episode_waypoints_percent_mean__MIN","jumping-sweep-5 - agent_eval_episode_waypoints_percent_mean__MAX","good-sweep-4 - _step","good-sweep-4 - _step__MIN","good-sweep-4 - _step__MAX","good-sweep-4 - agent_eval_episode_waypoints_percent_mean","good-sweep-4 - agent_eval_episode_waypoints_percent_mean__MIN","good-sweep-4 - agent_eval_episode_waypoints_percent_mean__MAX","sandy-sweep-3 - _step","sandy-sweep-3 - _step__MIN","sandy-sweep-3 - _step__MAX","sandy-sweep-3 - agent_eval_episode_waypoints_percent_mean","sandy-sweep-3 - agent_eval_episode_waypoints_percent_mean__MIN","sandy-sweep-3 - agent_eval_episode_waypoints_percent_mean__MAX","youthful-sweep-1 - _step","youthful-sweep-1 - _step__MIN","youthful-sweep-1 - _step__MAX","youthful-sweep-1 - agent_eval_episode_waypoints_percent_mean","youthful-sweep-1 - agent_eval_episode_waypoints_percent_mean__MIN","youthful-sweep-1 - agent_eval_episode_waypoints_percent_mean__MAX"
"0","0","0","0","0.16363636363636364","0.16363636363636364","0.16363636363636364","0","0","0","0.12727272727272726","0.12727272727272726","0.12727272727272726","0","0","0","0.10545454545454545","0.10545454545454545","0.10545454545454545","0","0","0","0.12727272727272726","0.12727272727272726","0.12727272727272726","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1500","5","5","5","0.1818181818181818","0.1818181818181818","0.1818181818181818","5","5","5","0.24242424242424243","0.24242424242424243","0.24242424242424243","5","5","5","0.21212121212121213","0.21212121212121213","0.21212121212121213","5","5","5","0.1818181818181818","0.1818181818181818","0.1818181818181818","5","5","5","0.12121212121212122","0.12121212121212122","0.12121212121212122","5","5","5","0.15151515151515152","0.15151515151515152","0.15151515151515152","5","5","5","0.15151515151515152","0.15151515151515152","0.15151515151515152","5","5","5","0.15151515151515152","0.15151515151515152","0.15151515151515152","5","5","5","0.15151515151515152","0.15151515151515152","0.15151515151515152","5","5","5","0.06060606060606061","0.06060606060606061","0.06060606060606061"
"3000","10","10","10","0.0909090909090909","0.0909090909090909","0.0909090909090909","10","10","10","0.15151515151515152","0.15151515151515152","0.15151515151515152","10","10","10","0.12121212121212122","0.12121212121212122","0.12121212121212122","10","10","10","0.1818181818181818","0.1818181818181818","0.1818181818181818","10","10","10","0.1818181818181818","0.1818181818181818","0.1818181818181818","10","10","10","0.12121212121212122","0.12121212121212122","0.12121212121212122","10","10","10","0.12121212121212122","0.12121212121212122","0.12121212121212122","10","10","10","0.06060606060606061","0.06060606060606061","0.06060606060606061","10","10","10","0.12121212121212122","0.12121212121212122","0.12121212121212122","10","10","10","0.0909090909090909","0.0909090909090909","0.0909090909090909"
"4500","15","15","15","0.1818181818181818","0.1818181818181818","0.1818181818181818","15","15","15","0.12121212121212122","0.12121212121212122","0.12121212121212122","15","15","15","0.0909090909090909","0.0909090909090909","0.0909090909090909","15","15","15","0.21212121212121213","0.21212121212121213","0.21212121212121213","15","15","15","0.12121212121212122","0.12121212121212122","0.12121212121212122","15","15","15","0.12121212121212122","0.12121212121212122","0.12121212121212122","15","15","15","0.0909090909090909","0.0909090909090909","0.0909090909090909","15","15","15","0.12121212121212122","0.12121212121212122","0.12121212121212122","15","15","15","0.21212121212121213","0.21212121212121213","0.21212121212121213","15","15","15","0.12121212121212122","0.12121212121212122","0.12121212121212122"
"6000","20","20","20","0.15151515151515152","0.15151515151515152","0.15151515151515152","20","20","20","0.24242424242424243","0.24242424242424243","0.24242424242424243","20","20","20","0.24242424242424243","0.24242424242424243","0.24242424242424243","20","20","20","0.15151515151515152","0.15151515151515152","0.15151515151515152","20","20","20","0.12121212121212122","0.12121212121212122","0.12121212121212122","20","20","20","0.1818181818181818","0.1818181818181818","0.1818181818181818","20","20","20","0.15151515151515152","0.15151515151515152","0.15151515151515152","20","20","20","0.12121212121212122","0.12121212121212122","0.12121212121212122","20","20","20","0.1818181818181818","0.1818181818181818","0.1818181818181818","20","20","20","0.0909090909090909","0.0909090909090909","0.0909090909090909"
"7500","25","25","25","0.3636363636363636","0.3636363636363636","0.3636363636363636","25","25","25","0.2727272727272727","0.2727272727272727","0.2727272727272727","25","25","25","0.24242424242424243","0.24242424242424243","0.24242424242424243","25","25","25","0.3636363636363636","0.3636363636363636","0.3636363636363636","25","25","25","0.2727272727272727","0.2727272727272727","0.2727272727272727","25","25","25","0.2727272727272727","0.2727272727272727","0.2727272727272727","25","25","25","0.24242424242424243","0.24242424242424243","0.24242424242424243","25","25","25","0.21212121212121213","0.21212121212121213","0.21212121212121213","25","25","25","0.39393939393939387","0.39393939393939387","0.39393939393939387","25","25","25","0.21212121212121213","0.21212121212121213","0.21212121212121213"
"9000","30","30","30","0.42424242424242425","0.42424242424242425","0.42424242424242425","30","30","30","0.24242424242424243","0.24242424242424243","0.24242424242424243","30","30","30","0.1818181818181818","0.1818181818181818","0.1818181818181818","30","30","30","0.5151515151515151","0.5151515151515151","0.5151515151515151","30","30","30","0.3636363636363636","0.3636363636363636","0.3636363636363636","30","30","30","0.3333333333333333","0.3333333333333333","0.3333333333333333","30","30","30","0.3636363636363636","0.3636363636363636","0.3636363636363636","30","30","30","0.30303030303030304","0.30303030303030304","0.30303030303030304","30","30","30","0.5151515151515151","0.5151515151515151","0.5151515151515151","30","30","30","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"10500","35","35","35","0.45454545454545453","0.45454545454545453","0.45454545454545453","35","35","35","0.21212121212121213","0.21212121212121213","0.21212121212121213","35","35","35","0.3333333333333333","0.3333333333333333","0.3333333333333333","35","35","35","0.30303030303030304","0.30303030303030304","0.30303030303030304","35","35","35","0.24242424242424243","0.24242424242424243","0.24242424242424243","35","35","35","0.4545454545454546","0.4545454545454546","0.4545454545454546","35","35","35","0.1818181818181818","0.1818181818181818","0.1818181818181818","35","35","35","0.1818181818181818","0.1818181818181818","0.1818181818181818","35","35","35","0.21212121212121213","0.21212121212121213","0.21212121212121213","35","35","35","0.2727272727272727","0.2727272727272727","0.2727272727272727"
"12000","40","40","40","0.393939393939394","0.393939393939394","0.393939393939394","40","40","40","0.48484848484848486","0.48484848484848486","0.48484848484848486","40","40","40","0.30303030303030304","0.30303030303030304","0.30303030303030304","40","40","40","0.4545454545454546","0.4545454545454546","0.4545454545454546","40","40","40","0.4848484848484848","0.4848484848484848","0.4848484848484848","40","40","40","0.3636363636363636","0.3636363636363636","0.3636363636363636","40","40","40","0.30303030303030304","0.30303030303030304","0.30303030303030304","40","40","40","0.3636363636363636","0.3636363636363636","0.3636363636363636","40","40","40","0.3636363636363636","0.3636363636363636","0.3636363636363636","40","40","40","0.30303030303030304","0.30303030303030304","0.30303030303030304"
"13500","45","45","45","0.39393939393939387","0.39393939393939387","0.39393939393939387","45","45","45","0.24242424242424243","0.24242424242424243","0.24242424242424243","45","45","45","0.21212121212121213","0.21212121212121213","0.21212121212121213","45","45","45","0.3333333333333333","0.3333333333333333","0.3333333333333333","45","45","45","0.24242424242424243","0.24242424242424243","0.24242424242424243","45","45","45","0.3636363636363636","0.3636363636363636","0.3636363636363636","45","45","45","0.5151515151515151","0.5151515151515151","0.5151515151515151","45","45","45","0.42424242424242425","0.42424242424242425","0.42424242424242425","45","45","45","0.5151515151515152","0.5151515151515152","0.5151515151515152","45","45","45","0.48484848484848486","0.48484848484848486","0.48484848484848486"
