"time_steps","snowy-sweep-2 - _step","snowy-sweep-2 - _step__MIN","snowy-sweep-2 - _step__MAX","snowy-sweep-2 - expert_avg_eval_r_mean","snowy-sweep-2 - expert_avg_eval_r_mean__MIN","snowy-sweep-2 - expert_avg_eval_r_mean__MAX","sweet-sweep-9 - _step","sweet-sweep-9 - _step__MIN","sweet-sweep-9 - _step__MAX","sweet-sweep-9 - expert_avg_eval_r_mean","sweet-sweep-9 - expert_avg_eval_r_mean__MIN","sweet-sweep-9 - expert_avg_eval_r_mean__MAX","pleasant-sweep-8 - _step","pleasant-sweep-8 - _step__MIN","pleasant-sweep-8 - _step__MAX","pleasant-sweep-8 - expert_avg_eval_r_mean","pleasant-sweep-8 - expert_avg_eval_r_mean__MIN","pleasant-sweep-8 - expert_avg_eval_r_mean__MAX","apricot-sweep-7 - _step","apricot-sweep-7 - _step__MIN","apricot-sweep-7 - _step__MAX","apricot-sweep-7 - expert_avg_eval_r_mean","apricot-sweep-7 - expert_avg_eval_r_mean__MIN","apricot-sweep-7 - expert_avg_eval_r_mean__MAX","fanciful-sweep-6 - _step","fanciful-sweep-6 - _step__MIN","fanciful-sweep-6 - _step__MAX","fanciful-sweep-6 - expert_avg_eval_r_mean","fanciful-sweep-6 - expert_avg_eval_r_mean__MIN","fanciful-sweep-6 - expert_avg_eval_r_mean__MAX","polished-sweep-5 - _step","polished-sweep-5 - _step__MIN","polished-sweep-5 - _step__MAX","polished-sweep-5 - expert_avg_eval_r_mean","polished-sweep-5 - expert_avg_eval_r_mean__MIN","polished-sweep-5 - expert_avg_eval_r_mean__MAX","sunny-sweep-4 - _step","sunny-sweep-4 - _step__MIN","sunny-sweep-4 - _step__MAX","sunny-sweep-4 - expert_avg_eval_r_mean","sunny-sweep-4 - expert_avg_eval_r_mean__MIN","sunny-sweep-4 - expert_avg_eval_r_mean__MAX","earthy-sweep-3 - _step","earthy-sweep-3 - _step__MIN","earthy-sweep-3 - _step__MAX","earthy-sweep-3 - expert_avg_eval_r_mean","earthy-sweep-3 - expert_avg_eval_r_mean__MIN","earthy-sweep-3 - expert_avg_eval_r_mean__MAX","pious-sweep-2 - _step","pious-sweep-2 - _step__MIN","pious-sweep-2 - _step__MAX","pious-sweep-2 - expert_avg_eval_r_mean","pious-sweep-2 - expert_avg_eval_r_mean__MIN","pious-sweep-2 - expert_avg_eval_r_mean__MAX","rich-sweep-1 - _step","rich-sweep-1 - _step__MIN","rich-sweep-1 - _step__MAX","rich-sweep-1 - expert_avg_eval_r_mean","rich-sweep-1 - expert_avg_eval_r_mean__MIN","rich-sweep-1 - expert_avg_eval_r_mean__MAX"
"0","0","0","0","20.0333999812862","20.0333999812862","20.0333999812862","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600","2","2","2","13.790732399739369","13.790732399739369","13.790732399739369","2","2","2","19.246191899894185","19.246191899894185","19.246191899894185","2","2","2","17.83914015232739","17.83914015232739","17.83914015232739","2","2","2","18.559441642884615","18.559441642884615","18.559441642884615","2","2","2","20.380916707721454","20.380916707721454","20.380916707721454","2","2","2","22.4482579164811","22.4482579164811","22.4482579164811","2","2","2","14.243497403538301","14.243497403538301","14.243497403538301","2","2","2","21.125844919648223","21.125844919648223","21.125844919648223","2","2","2","20.879999404603378","20.879999404603378","20.879999404603378","2","2","2","16.219771397107206","16.219771397107206","16.219771397107206"
"3200","4","4","4","17.706331555140373","17.706331555140373","17.706331555140373","4","4","4","24.400258643295295","24.400258643295295","24.400258643295295","4","4","4","18.83929479327692","18.83929479327692","18.83929479327692","4","4","4","22.663346856041425","22.663346856041425","22.663346856041425","4","4","4","21.516054818090787","21.516054818090787","21.516054818090787","4","4","4","26.997674984245613","26.997674984245613","26.997674984245613","4","4","4","18.94333830177145","18.94333830177145","18.94333830177145","4","4","4","25.596906610037628","25.596906610037628","25.596906610037628","4","4","4","20.06829302500376","20.06829302500376","20.06829302500376","4","4","4","18.844256983924456","18.844256983924456","18.844256983924456"
"4800","6","6","6","23.416472114857125","23.416472114857125","23.416472114857125","6","6","6","22.90499242417884","22.90499242417884","22.90499242417884","6","6","6","19.374987806016705","19.374987806016705","19.374987806016705","6","6","6","25.07647849853538","25.07647849853538","25.07647849853538","6","6","6","24.92234046760458","24.92234046760458","24.92234046760458","6","6","6","24.677475173103403","24.677475173103403","24.677475173103403","6","6","6","19.7803439371732","19.7803439371732","19.7803439371732","6","6","6","23.824400176632526","23.824400176632526","23.824400176632526","6","6","6","19.62575936317215","19.62575936317215","19.62575936317215","6","6","6","16.573143115682573","16.573143115682573","16.573143115682573"
"6400","8","8","8","24.95518140389186","24.95518140389186","24.95518140389186","8","8","8","25.89266936477182","25.89266936477182","25.89266936477182","8","8","8","19.68316722902361","19.68316722902361","19.68316722902361","8","8","8","24.752024513956513","24.752024513956513","24.752024513956513","8","8","8","24.596155868962498","24.596155868962498","24.596155868962498","8","8","8","21.940114386871965","21.940114386871965","21.940114386871965","8","8","8","19.41012137616913","19.41012137616913","19.41012137616913","8","8","8","21.52955525034959","21.52955525034959","21.52955525034959","8","8","8","22.769138014382534","22.769138014382534","22.769138014382534","8","8","8","19.080039961944774","19.080039961944774","19.080039961944774"
"8000","10","10","10","25.58418612745628","25.58418612745628","25.58418612745628","10","10","10","27.40775086411246","27.40775086411246","27.40775086411246","10","10","10","19.33895677313087","19.33895677313087","19.33895677313087","10","10","10","24.846731708588308","24.846731708588308","24.846731708588308","10","10","10","24.367452820431193","24.367452820431193","24.367452820431193","10","10","10","24.635789468511042","24.635789468511042","24.635789468511042","10","10","10","21.578408582033042","21.578408582033042","21.578408582033042","10","10","10","23.31043773365125","23.31043773365125","23.31043773365125","10","10","10","23.488897052512296","23.488897052512296","23.488897052512296","10","10","10","18.578116157903967","18.578116157903967","18.578116157903967"
"9600","12","12","12","26.942839641025937","26.942839641025937","26.942839641025937","12","12","12","30.164399642011016","30.164399642011016","30.164399642011016","12","12","12","19.82427007704646","19.82427007704646","19.82427007704646","12","12","12","26.946146846355457","26.946146846355457","26.946146846355457","12","12","12","23.319602072406255","23.319602072406255","23.319602072406255","12","12","12","24.218567281974998","24.218567281974998","24.218567281974998","12","12","12","23.834260135098038","23.834260135098038","23.834260135098038","12","12","12","21.85027594887578","21.85027594887578","21.85027594887578","12","12","12","23.411115724107997","23.411115724107997","23.411115724107997","12","12","12","20.520099729542412","20.520099729542412","20.520099729542412"
"11200","14","14","14","28.097538323163132","28.097538323163132","28.097538323163132","14","14","14","27.99820909660179","27.99820909660179","27.99820909660179","14","14","14","21.79144495093667","21.79144495093667","21.79144495093667","14","14","14","25.80808342897776","25.80808342897776","25.80808342897776","14","14","14","25.32098643937748","25.32098643937748","25.32098643937748","14","14","14","24.72866056495014","24.72866056495014","24.72866056495014","14","14","14","24.112167897068694","24.112167897068694","24.112167897068694","14","14","14","22.660207353159485","22.660207353159485","22.660207353159485","14","14","14","24.51526333009263","24.51526333009263","24.51526333009263","14","14","14","19.513344431427928","19.513344431427928","19.513344431427928"
"12800","16","16","16","27.24323392802424","27.24323392802424","27.24323392802424","16","16","16","25.923234154341646","25.923234154341646","25.923234154341646","16","16","16","23.821378788638807","23.821378788638807","23.821378788638807","16","16","16","26.907571233603512","26.907571233603512","26.907571233603512","16","16","16","24.416518437298468","24.416518437298468","24.416518437298468","16","16","16","23.699831605930093","23.699831605930093","23.699831605930093","16","16","16","25.784218476017315","25.784218476017315","25.784218476017315","16","16","16","21.152914524854072","21.152914524854072","21.152914524854072","16","16","16","24.199952391609383","24.199952391609383","24.199952391609383","16","16","16","21.33562033461815","21.33562033461815","21.33562033461815"
"14400","18","18","18","27.69384550883446","27.69384550883446","27.69384550883446","18","18","18","26.214171599055838","26.214171599055838","26.214171599055838","18","18","18","23.892834212959485","23.892834212959485","23.892834212959485","18","18","18","26.080187833009205","26.080187833009205","26.080187833009205","18","18","18","24.15797191513924","24.15797191513924","24.15797191513924","18","18","18","25.07363219977929","25.07363219977929","25.07363219977929","18","18","18","26.37730835047205","26.37730835047205","26.37730835047205","18","18","18","22.193835304701878","22.193835304701878","22.193835304701878","18","18","18","24.97135884814962","24.97135884814962","24.97135884814962","18","18","18","21.2791681353675","21.2791681353675","21.2791681353675"
"16000","20","20","20","26.468173115712197","26.468173115712197","26.468173115712197","20","20","20","26.683640976116607","26.683640976116607","26.683640976116607","20","20","20","25.35900767373966","25.35900767373966","25.35900767373966","20","20","20","26.282306707187566","26.282306707187566","26.282306707187566","20","20","20","24.133310141697184","24.133310141697184","24.133310141697184","20","20","20","26.954555895228708","26.954555895228708","26.954555895228708","20","20","20","26.077201078278428","26.077201078278428","26.077201078278428","20","20","20","23.71404093926388","23.71404093926388","23.71404093926388","20","20","20","24.9626040082683","24.9626040082683","24.9626040082683","20","20","20","21.984552921435192","21.984552921435192","21.984552921435192"
"17600","22","22","22","25.76135371275841","25.76135371275841","25.76135371275841","22","22","22","27.73703908957089","27.73703908957089","27.73703908957089","22","22","22","24.270343411297233","24.270343411297233","24.270343411297233","22","22","22","27.516454688076124","27.516454688076124","27.516454688076124","22","22","22","25.321717222266788","25.321717222266788","25.321717222266788","22","22","22","26.408503207074464","26.408503207074464","26.408503207074464","22","22","22","26.60427486894309","26.60427486894309","26.60427486894309","22","22","22","24.452304499430554","24.452304499430554","24.452304499430554","22","22","22","25.98224254512093","25.98224254512093","25.98224254512093","22","22","22","21.383455958053492","21.383455958053492","21.383455958053492"
"19200","24","24","24","26.331090366796957","26.331090366796957","26.331090366796957","24","24","24","28.8073784519234","28.8073784519234","28.8073784519234","24","24","24","24.216568015413795","24.216568015413795","24.216568015413795","24","24","24","28.782582293113133","28.782582293113133","28.782582293113133","24","24","24","26.270656610411333","26.270656610411333","26.270656610411333","24","24","24","27.04812748525414","27.04812748525414","27.04812748525414","24","24","24","26.01363684344639","26.01363684344639","26.01363684344639","24","24","24","26.33621774775105","26.33621774775105","26.33621774775105","24","24","24","25.270457300884477","25.270457300884477","25.270457300884477","24","24","24","22.04184836410424","22.04184836410424","22.04184836410424"
"20800","26","26","26","28.177010574214137","28.177010574214137","28.177010574214137","26","26","26","29.78222820223687","29.78222820223687","29.78222820223687","26","26","26","24.51839414202637","24.51839414202637","24.51839414202637","26","26","26","28.760159643984387","28.760159643984387","28.760159643984387","26","26","26","25.387402130618057","25.387402130618057","25.387402130618057","26","26","26","27.145996746084943","27.145996746084943","27.145996746084943","26","26","26","26.713367646845857","26.713367646845857","26.713367646845857","26","26","26","27.522881155481727","27.522881155481727","27.522881155481727","26","26","26","26.05964402765681","26.05964402765681","26.05964402765681","26","26","26","22.655296795454465","22.655296795454465","22.655296795454465"
"22400","28","28","28","28.565001379336945","28.565001379336945","28.565001379336945","28","28","28","30.647645957953028","30.647645957953028","30.647645957953028","28","28","28","24.367296439518263","24.367296439518263","24.367296439518263","28","28","28","28.798712499286275","28.798712499286275","28.798712499286275","28","28","28","25.407669957782897","25.407669957782897","25.407669957782897","28","28","28","26.28174984856891","26.28174984856891","26.28174984856891","28","28","28","27.823422960511927","27.823422960511927","27.823422960511927","28","28","28","26.760226670182924","26.760226670182924","26.760226670182924","28","28","28","27.43854224171","27.43854224171","27.43854224171","28","28","28","22.988300308915115","22.988300308915115","22.988300308915115"
