"time_steps","snowy-sweep-2 - _step","snowy-sweep-2 - _step__MIN","snowy-sweep-2 - _step__MAX","snowy-sweep-2 - expert_eval_episode_waypoints_percent_mean","snowy-sweep-2 - expert_eval_episode_waypoints_percent_mean__MIN","snowy-sweep-2 - expert_eval_episode_waypoints_percent_mean__MAX","sweet-sweep-9 - _step","sweet-sweep-9 - _step__MIN","sweet-sweep-9 - _step__MAX","sweet-sweep-9 - expert_eval_episode_waypoints_percent_mean","sweet-sweep-9 - expert_eval_episode_waypoints_percent_mean__MIN","sweet-sweep-9 - expert_eval_episode_waypoints_percent_mean__MAX","pleasant-sweep-8 - _step","pleasant-sweep-8 - _step__MIN","pleasant-sweep-8 - _step__MAX","pleasant-sweep-8 - expert_eval_episode_waypoints_percent_mean","pleasant-sweep-8 - expert_eval_episode_waypoints_percent_mean__MIN","pleasant-sweep-8 - expert_eval_episode_waypoints_percent_mean__MAX","apricot-sweep-7 - _step","apricot-sweep-7 - _step__MIN","apricot-sweep-7 - _step__MAX","apricot-sweep-7 - expert_eval_episode_waypoints_percent_mean","apricot-sweep-7 - expert_eval_episode_waypoints_percent_mean__MIN","apricot-sweep-7 - expert_eval_episode_waypoints_percent_mean__MAX","fanciful-sweep-6 - _step","fanciful-sweep-6 - _step__MIN","fanciful-sweep-6 - _step__MAX","fanciful-sweep-6 - expert_eval_episode_waypoints_percent_mean","fanciful-sweep-6 - expert_eval_episode_waypoints_percent_mean__MIN","fanciful-sweep-6 - expert_eval_episode_waypoints_percent_mean__MAX","polished-sweep-5 - _step","polished-sweep-5 - _step__MIN","polished-sweep-5 - _step__MAX","polished-sweep-5 - expert_eval_episode_waypoints_percent_mean","polished-sweep-5 - expert_eval_episode_waypoints_percent_mean__MIN","polished-sweep-5 - expert_eval_episode_waypoints_percent_mean__MAX","sunny-sweep-4 - _step","sunny-sweep-4 - _step__MIN","sunny-sweep-4 - _step__MAX","sunny-sweep-4 - expert_eval_episode_waypoints_percent_mean","sunny-sweep-4 - expert_eval_episode_waypoints_percent_mean__MIN","sunny-sweep-4 - expert_eval_episode_waypoints_percent_mean__MAX","earthy-sweep-3 - _step","earthy-sweep-3 - _step__MIN","earthy-sweep-3 - _step__MAX","earthy-sweep-3 - expert_eval_episode_waypoints_percent_mean","earthy-sweep-3 - expert_eval_episode_waypoints_percent_mean__MIN","earthy-sweep-3 - expert_eval_episode_waypoints_percent_mean__MAX","pious-sweep-2 - _step","pious-sweep-2 - _step__MIN","pious-sweep-2 - _step__MAX","pious-sweep-2 - expert_eval_episode_waypoints_percent_mean","pious-sweep-2 - expert_eval_episode_waypoints_percent_mean__MIN","pious-sweep-2 - expert_eval_episode_waypoints_percent_mean__MAX","rich-sweep-1 - _step","rich-sweep-1 - _step__MIN","rich-sweep-1 - _step__MAX","rich-sweep-1 - expert_eval_episode_waypoints_percent_mean","rich-sweep-1 - expert_eval_episode_waypoints_percent_mean__MIN","rich-sweep-1 - expert_eval_episode_waypoints_percent_mean__MAX"
"0","0","0","0","0.13818181818181816","0.13818181818181816","0.13818181818181816","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600","2","2","2","0.0909090909090909","0.0909090909090909","0.0909090909090909","2","2","2","0.1818181818181818","0.1818181818181818","0.1818181818181818","2","2","2","0.06060606060606061","0.06060606060606061","0.06060606060606061","2","2","2","0.0909090909090909","0.0909090909090909","0.0909090909090909","2","2","2","0.21212121212121213","0.21212121212121213","0.21212121212121213","2","2","2","0.18181818181818185","0.18181818181818185","0.18181818181818185","2","2","2","0","0","0","2","2","2","0.1818181818181818","0.1818181818181818","0.1818181818181818","2","2","2","0.12121212121212122","0.12121212121212122","0.12121212121212122","2","2","2","0.030303030303030304","0.030303030303030304","0.030303030303030304"
"3200","4","4","4","0.15151515151515152","0.15151515151515152","0.15151515151515152","4","4","4","0.24242424242424243","0.24242424242424243","0.24242424242424243","4","4","4","0.1818181818181818","0.1818181818181818","0.1818181818181818","4","4","4","0.24242424242424243","0.24242424242424243","0.24242424242424243","4","4","4","0.1818181818181818","0.1818181818181818","0.1818181818181818","4","4","4","0.24242424242424243","0.24242424242424243","0.24242424242424243","4","4","4","0.21212121212121213","0.21212121212121213","0.21212121212121213","4","4","4","0.24242424242424243","0.24242424242424243","0.24242424242424243","4","4","4","0.24242424242424243","0.24242424242424243","0.24242424242424243","4","4","4","0.0909090909090909","0.0909090909090909","0.0909090909090909"
"4800","6","6","6","0.3333333333333333","0.3333333333333333","0.3333333333333333","6","6","6","0.15151515151515152","0.15151515151515152","0.15151515151515152","6","6","6","0.27272727272727276","0.27272727272727276","0.27272727272727276","6","6","6","0.1818181818181818","0.1818181818181818","0.1818181818181818","6","6","6","0.27272727272727276","0.27272727272727276","0.27272727272727276","6","6","6","0.2727272727272727","0.2727272727272727","0.2727272727272727","6","6","6","0.1818181818181818","0.1818181818181818","0.1818181818181818","6","6","6","0.24242424242424243","0.24242424242424243","0.24242424242424243","6","6","6","0.21212121212121213","0.21212121212121213","0.21212121212121213","6","6","6","0.12121212121212122","0.12121212121212122","0.12121212121212122"
"6400","8","8","8","0.39393939393939387","0.39393939393939387","0.39393939393939387","8","8","8","0.3636363636363636","0.3636363636363636","0.3636363636363636","8","8","8","0.3636363636363636","0.3636363636363636","0.3636363636363636","8","8","8","0.21212121212121213","0.21212121212121213","0.21212121212121213","8","8","8","0.24242424242424243","0.24242424242424243","0.24242424242424243","8","8","8","0.15151515151515152","0.15151515151515152","0.15151515151515152","8","8","8","0.21212121212121213","0.21212121212121213","0.21212121212121213","8","8","8","0.24242424242424243","0.24242424242424243","0.24242424242424243","8","8","8","0.30303030303030304","0.30303030303030304","0.30303030303030304","8","8","8","0.21212121212121213","0.21212121212121213","0.21212121212121213"
"8000","10","10","10","0.24242424242424243","0.24242424242424243","0.24242424242424243","10","10","10","0.30303030303030304","0.30303030303030304","0.30303030303030304","10","10","10","0.2727272727272727","0.2727272727272727","0.2727272727272727","10","10","10","0.3333333333333333","0.3333333333333333","0.3333333333333333","10","10","10","0.3636363636363636","0.3636363636363636","0.3636363636363636","10","10","10","0.3333333333333333","0.3333333333333333","0.3333333333333333","10","10","10","0.3636363636363636","0.3636363636363636","0.3636363636363636","10","10","10","0.45454545454545453","0.45454545454545453","0.45454545454545453","10","10","10","0.3636363636363636","0.3636363636363636","0.3636363636363636","10","10","10","0.24242424242424243","0.24242424242424243","0.24242424242424243"
"9600","12","12","12","0.3636363636363636","0.3636363636363636","0.3636363636363636","12","12","12","0.48484848484848486","0.48484848484848486","0.48484848484848486","12","12","12","0.42424242424242425","0.42424242424242425","0.42424242424242425","12","12","12","0.4848484848484848","0.4848484848484848","0.4848484848484848","12","12","12","0.3333333333333333","0.3333333333333333","0.3333333333333333","12","12","12","0.39393939393939387","0.39393939393939387","0.39393939393939387","12","12","12","0.3636363636363636","0.3636363636363636","0.3636363636363636","12","12","12","0.24242424242424243","0.24242424242424243","0.24242424242424243","12","12","12","0.2727272727272727","0.2727272727272727","0.2727272727272727","12","12","12","0.42424242424242425","0.42424242424242425","0.42424242424242425"
"11200","14","14","14","0.45454545454545453","0.45454545454545453","0.45454545454545453","14","14","14","0.2727272727272727","0.2727272727272727","0.2727272727272727","14","14","14","0.5454545454545455","0.5454545454545455","0.5454545454545455","14","14","14","0.30303030303030304","0.30303030303030304","0.30303030303030304","14","14","14","0.6363636363636364","0.6363636363636364","0.6363636363636364","14","14","14","0.39393939393939387","0.39393939393939387","0.39393939393939387","14","14","14","0.3333333333333333","0.3333333333333333","0.3333333333333333","14","14","14","0.393939393939394","0.393939393939394","0.393939393939394","14","14","14","0.5151515151515151","0.5151515151515151","0.5151515151515151","14","14","14","0.15151515151515152","0.15151515151515152","0.15151515151515152"
"12800","16","16","16","0.2727272727272727","0.2727272727272727","0.2727272727272727","16","16","16","0.1818181818181818","0.1818181818181818","0.1818181818181818","16","16","16","0.6060606060606061","0.6060606060606061","0.6060606060606061","16","16","16","0.5151515151515151","0.5151515151515151","0.5151515151515151","16","16","16","0.30303030303030304","0.30303030303030304","0.30303030303030304","16","16","16","0.24242424242424243","0.24242424242424243","0.24242424242424243","16","16","16","0.4545454545454546","0.4545454545454546","0.4545454545454546","16","16","16","0.1818181818181818","0.1818181818181818","0.1818181818181818","16","16","16","0.393939393939394","0.393939393939394","0.393939393939394","16","16","16","0.45454545454545453","0.45454545454545453","0.45454545454545453"
"14400","18","18","18","0.39393939393939387","0.39393939393939387","0.39393939393939387","18","18","18","0.45454545454545453","0.45454545454545453","0.45454545454545453","18","18","18","0.48484848484848486","0.48484848484848486","0.48484848484848486","18","18","18","0.3333333333333333","0.3333333333333333","0.3333333333333333","18","18","18","0.3333333333333333","0.3333333333333333","0.3333333333333333","18","18","18","0.6363636363636364","0.6363636363636364","0.6363636363636364","18","18","18","0.5757575757575757","0.5757575757575757","0.5757575757575757","18","18","18","0.5151515151515151","0.5151515151515151","0.5151515151515151","18","18","18","0.6060606060606061","0.6060606060606061","0.6060606060606061","18","18","18","0.3333333333333333","0.3333333333333333","0.3333333333333333"
